epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0613,1.09595,8.34775,0.70695,1.95767,1.17077,0.00654,0.98734,0.28632,0.18644,0.00034,0.05063,0.0034,0.00034,0.92049,7.61131,0.70152,2.82544,1.05633,0.000647059,0.000647059,0.000647059
2,16.0415,1.04487,6.24883,0.65515,1.09219,1.13548,0.92019,0.55696,0.83729,0.5654,0.64197,0.36321,0.30885,0.06516,0.97759,5.55367,0.58901,2.05111,1.09366,0.00130939,0.00130939,0.00130939
3,21.0088,1.03427,4.72708,0.59253,0.98527,1.11856,0.86818,0.81013,0.89577,0.62954,0.83088,0.77215,0.77492,0.2371,0.95447,3.39241,0.38461,1.09734,1.13848,0.00196732,0.00196732,0.00196732
4,26.7992,1.01376,3.53427,0.54383,0.92388,1.08975,0.95875,0.91139,0.96382,0.70847,0.84231,0.77215,0.83615,0.34781,0.91431,2.83165,0.31203,1.07866,1.04884,0.0019802,0.0019802,0.0019802
5,33.0612,0.98577,3.08769,0.53073,0.89577,1.08431,0.95383,0.93671,0.9789,0.74288,0.94529,0.87494,0.92648,0.37757,0.85619,2.15037,0.26349,0.96209,1.04499,0.0019736,0.0019736,0.0019736
6,39.0582,0.95783,2.68077,0.5222,0.80911,1.07212,0.96126,0.94233,0.97836,0.72021,0.91001,0.89608,0.90089,0.45964,0.86466,1.87326,0.23891,1.07545,1.03149,0.001967,0.001967,0.001967
7,44.1994,0.94152,2.60482,0.53308,0.80756,1.08532,0.92135,0.91139,0.95742,0.73379,0.81882,0.81013,0.7696,0.36079,0.82326,1.92126,0.22855,0.89661,0.98369,0.0019604,0.0019604,0.0019604
8,50.6827,0.91204,2.6102,0.52313,0.75313,1.04959,0.9451,0.93671,0.97332,0.7429,0.9451,0.93671,0.97332,0.50931,0.72548,1.60741,0.25375,0.73644,0.94415,0.0019538,0.0019538,0.0019538
9,56.7675,0.90096,2.40713,0.49195,0.71737,1.04301,0.99783,0.94937,0.97563,0.79861,0.95785,0.91139,0.9361,0.56165,0.68614,1.39739,0.24555,0.59916,0.92287,0.0019472,0.0019472,0.0019472
10,62.1184,0.87247,2.36352,0.49799,0.71009,1.04458,0.97392,0.94559,0.982,0.80731,0.93485,0.90817,0.93082,0.56842,0.68986,1.44138,0.23193,0.58112,0.9225,0.0019406,0.0019406,0.0019406
11,67.5053,0.85866,2.21628,0.48876,0.67792,1.04511,0.96144,0.94683,0.97637,0.75281,0.92288,0.90892,0.91808,0.54633,0.77307,1.47488,0.22768,0.59633,0.95152,0.001934,0.001934,0.001934
12,73.5682,0.85176,2.23512,0.48551,0.6529,1.0281,0.99864,0.96203,0.98169,0.79179,0.98514,0.94937,0.9678,0.54009,0.69516,1.50234,0.22084,0.60173,0.93884,0.0019274,0.0019274,0.0019274
13,78.59,0.82394,2.0714,0.47333,0.64515,1.00953,0.97352,0.93077,0.97912,0.78215,0.97239,0.92405,0.96925,0.6135,0.71382,1.34391,0.2176,0.57575,0.94029,0.0019208,0.0019208,0.0019208
14,83.8092,0.82942,2.00955,0.47201,0.63746,1.02239,1,0.87469,0.95678,0.79902,0.98565,0.8693,0.92864,0.58727,0.66514,1.34881,0.23075,0.60276,0.92689,0.0019142,0.0019142,0.0019142
15,88.9262,0.80424,2.01265,0.4691,0.62088,1.0174,0.9746,0.97124,0.98386,0.81417,0.9365,0.93343,0.94354,0.54071,0.65198,1.51701,0.21904,0.52779,0.90923,0.0019076,0.0019076,0.0019076
16,95.0641,0.79046,1.9963,0.4646,0.60353,1.01572,0.9854,0.98734,0.98909,0.80379,0.97265,0.97468,0.9725,0.64393,0.67202,1.27366,0.21176,0.51702,0.90932,0.001901,0.001901,0.001901
17,100.411,0.81386,2.04458,0.45205,0.60633,1.01277,0.98409,0.98734,0.98579,0.80444,0.98409,0.98734,0.98579,0.64104,0.68415,1.22055,0.21114,0.51703,0.9316,0.0018944,0.0018944,0.0018944
18,105.621,0.82258,1.98013,0.42567,0.58437,1.01301,0.96202,0.96192,0.98674,0.82313,0.96202,0.96192,0.98674,0.64793,0.66581,1.21252,0.20724,0.52715,0.91157,0.0018878,0.0018878,0.0018878
19,111.361,0.79588,1.85571,0.41838,0.5698,0.9957,0.99647,0.98734,0.99148,0.83598,0.99647,0.98734,0.99148,0.6551,0.663,1.20218,0.18793,0.53673,0.91473,0.0018812,0.0018812,0.0018812
20,117.671,0.80395,1.93854,0.40547,0.60617,1.01774,0.96285,0.98436,0.9858,0.80004,0.9381,0.95918,0.96255,0.6183,0.66616,1.24402,0.18693,0.54026,0.94812,0.0018746,0.0018746,0.0018746
21,123.085,0.80855,1.85752,0.38514,0.58448,1.01619,0.99682,0.98734,0.98672,0.82416,0.97117,0.96203,0.96115,0.61095,0.65833,1.38338,0.16417,0.4901,0.91333,0.001868,0.001868,0.001868
22,128.085,0.77722,1.91796,0.3869,0.57232,1.0015,0.985,0.97468,0.98869,0.81907,0.985,0.97468,0.98208,0.65203,0.62888,1.15849,0.17052,0.53434,0.89044,0.0018614,0.0018614,0.0018614
23,133.62,0.75042,1.93668,0.36064,0.56072,0.99627,1,0.97167,0.98615,0.83314,0.96729,0.93671,0.94515,0.56669,0.63332,1.48602,0.16209,0.50775,0.896,0.0018548,0.0018548,0.0018548
24,139.544,0.73122,1.80107,0.32908,0.53251,0.97474,1,0.98094,0.99212,0.82987,0.97419,0.95579,0.96668,0.65573,0.62863,1.10958,0.13803,0.4853,0.88641,0.0018482,0.0018482,0.0018482
25,144.944,0.77935,1.91493,0.35093,0.55897,1.00242,0.96222,0.96733,0.98513,0.81432,0.94963,0.95467,0.96936,0.6559,0.60979,1.1484,0.14669,0.4951,0.89996,0.0018416,0.0018416,0.0018416
26,150.139,0.75403,1.75055,0.31113,0.55043,0.98043,0.97228,0.98734,0.99156,0.83147,0.95982,0.97468,0.97328,0.66568,0.59337,1.16576,0.1426,0.41539,0.88556,0.001835,0.001835,0.001835
27,155.532,0.73144,1.73292,0.32941,0.53218,0.98557,0.97205,0.96203,0.9836,0.82357,0.95926,0.94937,0.97735,0.67982,0.61521,1.16915,0.12265,0.50741,0.89353,0.0018284,0.0018284,0.0018284
28,161.653,0.74655,1.70268,0.32463,0.52348,0.9897,0.96106,0.97468,0.98694,0.84302,0.97446,0.96581,0.97828,0.69235,0.59566,1.08584,0.12738,0.43231,0.88657,0.0018218,0.0018218,0.0018218
29,167.677,0.73715,1.68998,0.30121,0.53727,0.98352,0.96275,0.98146,0.98412,0.83406,0.98663,0.93388,0.97424,0.70698,0.61434,1.07414,0.11947,0.442,0.88511,0.0018152,0.0018152,0.0018152
30,172.567,0.71983,1.65099,0.28531,0.52242,0.9751,1,0.9602,0.98522,0.83169,0.9679,0.96203,0.97728,0.66125,0.65868,1.11618,0.11491,0.46779,0.89592,0.0018086,0.0018086,0.0018086
31,178.152,0.73164,1.65883,0.29784,0.5213,0.97452,0.98294,0.98734,0.99249,0.85336,0.94513,0.94937,0.96367,0.64794,0.57373,1.12277,0.10833,0.40697,0.87986,0.001802,0.001802,0.001802
32,184.905,0.73489,1.6633,0.27576,0.51953,0.98711,0.98715,0.97268,0.98489,0.82472,0.98715,0.97268,0.98489,0.6451,0.62095,1.06264,0.10437,0.4629,0.8827,0.0017954,0.0017954,0.0017954
33,190.571,0.74172,1.64594,0.28104,0.51968,0.98028,0.98663,0.93389,0.98199,0.82813,0.97325,0.92123,0.97032,0.68984,0.61847,1.08896,0.1119,0.45758,0.88703,0.0017888,0.0017888,0.0017888
34,195.879,0.68838,1.56925,0.26454,0.50732,0.9543,0.97369,0.97468,0.98457,0.8464,0.96104,0.96203,0.97247,0.69025,0.57688,1.006,0.11214,0.39473,0.87945,0.0017822,0.0017822,0.0017822
35,201.997,0.68733,1.49337,0.27496,0.50783,0.96935,0.99622,0.98734,0.99108,0.83145,0.99622,0.98734,0.99108,0.66657,0.59017,1.04585,0.09714,0.42975,0.87381,0.0017756,0.0017756,0.0017756
36,208.175,0.70577,1.53035,0.26254,0.49539,0.96821,0.98697,0.95887,0.99278,0.83421,0.98697,0.95887,0.99278,0.67054,0.56572,1.03539,0.08893,0.47287,0.87776,0.001769,0.001769,0.001769
37,213.493,0.74497,1.67864,0.26217,0.51975,0.99096,0.98251,0.98734,0.9922,0.84961,0.98251,0.98734,0.9922,0.6691,0.57045,1.08381,0.09654,0.43496,0.86729,0.0017624,0.0017624,0.0017624
38,218.911,0.70949,1.53673,0.26567,0.50559,0.96909,0.99763,0.98734,0.98667,0.85323,0.98475,0.97468,0.97671,0.66894,0.57863,1.06133,0.10033,0.38128,0.88533,0.0017558,0.0017558,0.0017558
39,224.267,0.66872,1.49129,0.25064,0.4866,0.96043,0.98304,0.98734,0.98601,0.82938,0.97044,0.97468,0.96877,0.68538,0.61738,1.08218,0.09332,0.44978,0.90585,0.0017492,0.0017492,0.0017492
40,229.852,0.71406,1.54071,0.2556,0.48568,0.98567,0.9838,0.98734,0.98713,0.84383,0.9838,0.98734,0.98713,0.70256,0.57633,1.03927,0.08663,0.41531,0.8874,0.0017426,0.0017426,0.0017426
41,235.377,0.69701,1.59734,0.24747,0.49596,0.96463,1,0.95784,0.9928,0.83346,0.98679,0.94536,0.98156,0.6749,0.61557,1.09351,0.10069,0.46345,0.93758,0.001736,0.001736,0.001736
42,240.293,0.69697,1.50493,0.25138,0.50942,0.98553,0.98707,0.96621,0.98721,0.83672,0.9612,0.94089,0.95801,0.65181,0.57809,1.13406,0.0926,0.41063,0.88173,0.0017294,0.0017294,0.0017294
43,245.719,0.72663,1.59546,0.24854,0.49364,0.98007,0.98443,0.97468,0.98764,0.80778,0.97164,0.96203,0.97765,0.70011,0.6235,0.98501,0.0824,0.43038,0.88621,0.0017228,0.0017228,0.0017228
44,251.898,0.70469,1.53077,0.24001,0.48522,0.96722,0.99264,0.97468,0.99415,0.82662,0.97975,0.96203,0.9828,0.68609,0.5657,0.98662,0.08108,0.4405,0.87296,0.0017162,0.0017162,0.0017162
45,256.908,0.68425,1.47659,0.24001,0.48042,0.97363,0.9642,0.97468,0.98246,0.84372,0.9642,0.97468,0.98506,0.68401,0.5508,1.02851,0.08345,0.4164,0.86661,0.0017096,0.0017096,0.0017096
46,262.678,0.67024,1.4242,0.23962,0.47149,0.96255,0.97495,0.98551,0.98694,0.86264,0.97495,0.98551,0.98694,0.69961,0.58147,1.00654,0.08719,0.38297,0.86647,0.001703,0.001703,0.001703
47,267.965,0.68069,1.34238,0.23716,0.4758,0.96953,0.99829,0.98734,0.98552,0.83494,0.99829,0.98734,0.98566,0.71554,0.57596,0.95694,0.08893,0.398,0.86915,0.0016964,0.0016964,0.0016964
48,274.013,0.67764,1.44712,0.22248,0.47622,0.95912,0.98524,0.98734,0.986,0.86955,0.97261,0.97468,0.96531,0.70267,0.61302,1.00159,0.08185,0.38231,0.94734,0.0016898,0.0016898,0.0016898
49,279.384,0.69351,1.41863,0.24709,0.48715,0.97327,0.95986,0.98734,0.98237,0.83831,0.94756,0.97468,0.96797,0.67154,0.62683,1.02139,0.07644,0.4335,0.94831,0.0016832,0.0016832,0.0016832
50,285.15,0.6835,1.38992,0.23517,0.47814,0.96264,0.95117,0.98628,0.9908,0.85649,0.93898,0.97389,0.98093,0.72277,0.54401,0.88307,0.0788,0.39076,0.869,0.0016766,0.0016766,0.0016766
51,290.594,0.66523,1.40199,0.23748,0.47828,0.96437,0.99825,0.94937,0.98333,0.84754,0.99825,0.94937,0.98333,0.7311,0.54623,0.9401,0.07995,0.40021,0.8756,0.00167,0.00167,0.00167
52,296.219,0.66514,1.36414,0.22118,0.46207,0.96214,0.97115,0.97468,0.98989,0.82192,0.95854,0.96203,0.97728,0.71581,0.65493,0.94451,0.07718,0.46942,0.949,0.0016634,0.0016634,0.0016634
53,301.331,0.66661,1.39372,0.23013,0.46838,0.96192,0.99791,0.98734,0.99298,0.85935,0.98512,0.97468,0.97554,0.7425,0.56877,0.87334,0.07972,0.37082,0.86991,0.0016568,0.0016568,0.0016568
54,306.479,0.65556,1.30581,0.22609,0.45524,0.95291,0.96978,0.98734,0.99263,0.83399,0.95735,0.97468,0.98123,0.70538,0.57374,0.95802,0.08199,0.40147,0.86709,0.0016502,0.0016502,0.0016502
55,311.471,0.66038,1.29035,0.22189,0.45406,0.95981,1,0.97122,0.99162,0.862,1,0.97122,0.99162,0.70764,0.53271,0.94163,0.07091,0.38445,0.85926,0.0016436,0.0016436,0.0016436
56,317.565,0.64205,1.25369,0.21679,0.44662,0.95148,0.98439,0.97468,0.97646,0.83176,0.97148,0.96203,0.96253,0.69224,0.56709,1.03051,0.08198,0.39324,0.87128,0.001637,0.001637,0.001637
57,322.154,0.65149,1.3152,0.22826,0.45649,0.94651,0.99875,0.98734,0.98687,0.84936,0.99875,0.98734,0.98687,0.76266,0.5824,0.87573,0.07576,0.37527,0.89379,0.0016304,0.0016304,0.0016304
58,327.654,0.63845,1.25093,0.22558,0.45637,0.9518,1,0.98564,0.98605,0.85775,1,0.98564,0.98605,0.76309,0.54231,0.85776,0.0717,0.35904,0.86927,0.0016238,0.0016238,0.0016238
59,333.33,0.66783,1.31172,0.23075,0.45991,0.96533,0.99821,0.98734,0.98633,0.83845,0.99821,0.98734,0.98633,0.74717,0.54723,0.87446,0.07451,0.35965,0.87903,0.0016172,0.0016172,0.0016172
60,338.93,0.63348,1.32481,0.21041,0.45015,0.94456,0.98471,0.96203,0.98482,0.85287,0.98471,0.96203,0.98482,0.76071,0.59702,0.90633,0.07282,0.42511,0.92662,0.0016106,0.0016106,0.0016106
61,344.497,0.66565,1.37009,0.21528,0.47086,0.95554,0.99594,0.93671,0.99104,0.86287,0.99594,0.93671,0.99104,0.73523,0.53604,0.87385,0.08331,0.41172,0.85922,0.001604,0.001604,0.001604
62,349.464,0.64937,1.31786,0.21994,0.46207,0.94964,0.98566,0.97468,0.98719,0.84572,0.98566,0.97468,0.98719,0.75371,0.54951,0.8528,0.0792,0.36876,0.86859,0.0015974,0.0015974,0.0015974
63,355.704,0.66506,1.29722,0.22936,0.46478,0.96817,0.99837,0.98734,0.98702,0.84994,0.99837,0.98734,0.98702,0.76037,0.54975,0.84098,0.0805,0.35314,0.85964,0.0015908,0.0015908,0.0015908
64,361.61,0.63804,1.31616,0.21872,0.45635,0.95127,0.97048,0.98734,0.98916,0.86549,1,0.94217,0.98165,0.73865,0.53549,0.91786,0.07678,0.35872,0.86462,0.0015842,0.0015842,0.0015842
65,367.321,0.66224,1.31655,0.20225,0.45207,0.94006,0.97448,0.98734,0.99452,0.86114,0.97448,0.98734,0.99452,0.73734,0.53079,0.89375,0.07244,0.42235,0.85865,0.0015776,0.0015776,0.0015776
66,373.047,0.61223,1.18724,0.21041,0.42082,0.93061,0.97445,0.98734,0.98568,0.87557,0.96195,0.97468,0.97561,0.75914,0.50889,0.82736,0.07368,0.36216,0.84845,0.001571,0.001571,0.001571
67,378.879,0.62524,1.14173,0.20659,0.43586,0.93417,1,0.98442,0.98771,0.86625,0.98714,0.97191,0.97838,0.76825,0.53958,0.865,0.08354,0.3504,0.86482,0.0015644,0.0015644,0.0015644
68,384.4,0.63984,1.16075,0.20109,0.44662,0.9455,1,0.96952,0.98919,0.88428,1,0.96952,0.98919,0.76607,0.4839,0.80517,0.07567,0.35015,0.84776,0.0015578,0.0015578,0.0015578
69,389.716,0.60998,1.17508,0.21295,0.43805,0.94127,0.99713,0.98734,0.98756,0.86951,0.97156,0.96203,0.96631,0.76274,0.48117,0.83592,0.07228,0.32547,0.8552,0.0015512,0.0015512,0.0015512
70,394.85,0.61106,1.15294,0.20571,0.42031,0.92949,1,0.98519,0.98805,0.87277,0.98715,0.9726,0.97849,0.76491,0.51667,0.88486,0.08385,0.33687,0.85674,0.0015446,0.0015446,0.0015446
71,400.881,0.64989,1.21938,0.21619,0.45325,0.94506,0.98702,0.97468,0.99363,0.86479,0.98702,0.97468,0.99363,0.75854,0.4931,0.84131,0.07763,0.3384,0.85172,0.001538,0.001538,0.001538
72,406.405,0.62543,1.19471,0.20797,0.42959,0.94227,0.99812,0.97468,0.98832,0.86058,0.99812,0.97468,0.98832,0.78934,0.53817,0.75654,0.08469,0.35213,0.85601,0.0015314,0.0015314,0.0015314
73,411.902,0.61412,1.17682,0.20621,0.43445,0.95155,1,0.98583,0.98663,0.88242,1,0.98583,0.98663,0.77556,0.49638,0.7775,0.07531,0.32141,0.84778,0.0015248,0.0015248,0.0015248
