epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2799,3.57652,7.83939,0.70135,3.41598,4.22772,0,0,0,0,0,0,0,0,4.61087,8.1084,0.6809,4.76592,4.18251,0.0005,0.0005,0.0005
2,45.2007,2.63168,5.80286,0.60361,2.0858,3.20944,0,0,0,0,0,0,0,0,4.26916,7.89707,0.66585,4.40904,4.03043,0.00101694,0.00101694,0.00101694
3,68.2959,2.34115,4.40697,0.49932,1.7786,2.56493,0.80605,0.3754,0.58856,0.23539,0.50155,0.09677,0.18797,0.03588,2.44757,5.38887,0.47894,2.63618,2.49298,0.00153076,0.00153076,0.00153076
4,86.8819,2.23954,4.00339,0.4365,1.63112,2.36109,0.39563,0.3871,0.27167,0.07832,0.38874,0.4129,0.34065,0.12002,3.18583,3.43168,0.25588,2.14016,2.48718,0.001982,0.001982,0.001982
5,106.373,2.16677,3.73446,0.42134,1.51288,2.17694,0.55509,0.64516,0.5627,0.22413,0.47403,0.6,0.44837,0.14917,2.22653,3.1868,0.18762,1.48243,1.84728,0.001976,0.001976,0.001976
6,127.538,2.08901,3.49711,0.40831,1.47441,2.14575,0.6236,0.6,0.6277,0.261,0.60917,0.53297,0.56342,0.19406,2.13491,2.83731,0.16674,2.66068,1.74424,0.00197,0.00197,0.00197
7,143.105,2.01641,3.44283,0.41042,1.40399,2.08005,0.33517,0.38065,0.22304,0.03467,0.42835,0.50323,0.34467,0.11365,3.41136,2.95811,0.12759,3.86859,2.74902,0.001964,0.001964,0.001964
8,158.748,1.95838,3.36722,0.39875,1.35141,1.99579,0.6307,0.63871,0.60119,0.12685,0.66195,0.71613,0.69905,0.31369,2.81121,2.52851,0.14852,2.49215,2.1572,0.001958,0.001958,0.001958
9,178.792,1.92397,3.30434,0.3895,1.30629,1.9697,0.72787,0.67097,0.67206,0.16718,0.79832,0.77419,0.82624,0.36073,2.70938,2.28311,0.1261,2.46038,2.17698,0.001952,0.001952,0.001952
10,198.366,1.90025,3.19957,0.38206,1.28578,1.94976,0.60852,0.86452,0.7022,0.20431,0.59036,0.83871,0.65715,0.28196,2.17257,2.20828,0.13764,2.75037,1.71574,0.001946,0.001946,0.001946
11,215.223,1.85322,3.12131,0.34521,1.25853,1.8835,0.77421,0.84066,0.85331,0.33977,0.7039,0.78219,0.72546,0.32883,1.94477,2.30984,0.11543,1.41714,1.60233,0.00194,0.00194,0.00194
12,233.042,1.84503,3.0878,0.31646,1.21034,1.85086,0.65232,0.82581,0.77708,0.18838,0.66251,0.83871,0.78412,0.38242,2.46927,2.0096,0.10144,1.5536,1.92285,0.001934,0.001934,0.001934
13,251.268,1.81073,3.01213,0.29915,1.21452,1.85011,0.81542,0.86452,0.91389,0.32118,0.78576,0.77419,0.80018,0.3439,2.04947,2.39632,0.08053,1.2823,1.6224,0.001928,0.001928,0.001928
14,272.882,1.82347,3.07932,0.27055,1.17661,1.84816,0.77081,0.80645,0.85302,0.36391,0.72495,0.74819,0.7607,0.34355,1.89989,2.08637,0.06636,1.27619,1.55275,0.001922,0.001922,0.001922
15,289.276,1.77148,2.9388,0.25534,1.21363,1.82151,0.75908,0.87742,0.88214,0.38736,0.72559,0.83871,0.82046,0.42092,1.94371,2.08915,0.06247,1.02884,1.5413,0.001916,0.001916,0.001916
16,305.987,1.78203,2.9346,0.25348,1.17544,1.84887,0.74164,0.87742,0.80415,0.27528,0.73862,0.85687,0.75695,0.35391,2.12213,2.00659,0.05916,1.71874,1.7092,0.00191,0.00191,0.00191
17,323.451,1.79866,3.06173,0.27255,1.19729,1.8193,0.80426,0.89032,0.88942,0.48071,0.78162,0.85439,0.83359,0.39586,1.54009,2.07774,0.04566,1.18906,1.36726,0.001904,0.001904,0.001904
18,345.648,1.74187,2.93463,0.23248,1.15647,1.81179,0.79693,0.80645,0.8631,0.30665,0.77681,0.79355,0.83522,0.41108,2.13295,1.96161,0.04127,1.51363,1.6569,0.001898,0.001898,0.001898
19,361.269,1.7275,2.88122,0.22639,1.13201,1.77779,0.68567,0.84441,0.78558,0.28889,0.67409,0.82581,0.76256,0.38348,2.07491,1.95625,0.04075,1.76484,1.63139,0.001892,0.001892,0.001892
20,377.809,1.72206,2.89123,0.24056,1.14926,1.77737,0.78894,0.89677,0.88069,0.32816,0.78894,0.89677,0.86573,0.4449,2.00346,1.89331,0.04693,1.30336,1.55029,0.001886,0.001886,0.001886
21,394.519,1.69915,2.83764,0.21039,1.12287,1.73515,0.63748,0.70968,0.73297,0.38067,0.60796,0.67097,0.68612,0.31914,1.54379,2.21096,0.04639,1.20408,1.35159,0.00188,0.00188,0.00188
22,416.051,1.72457,2.8259,0.20882,1.11105,1.73631,0.86389,0.90087,0.94284,0.3704,0.84542,0.88214,0.90831,0.4492,2.04475,1.85738,0.03622,1.80599,1.62399,0.001874,0.001874,0.001874
23,432.835,1.69618,2.79519,0.21226,1.09762,1.75351,0.69401,0.82581,0.81377,0.31011,0.67004,0.77419,0.7436,0.34838,2.03513,1.95873,0.03416,1.28049,1.60133,0.001868,0.001868,0.001868
24,449.974,1.7137,2.77241,0.22332,1.10426,1.71518,0.79295,0.87097,0.92322,0.38052,0.78165,0.85806,0.90456,0.50987,1.99164,1.77706,0.03304,1.13699,1.5785,0.001862,0.001862,0.001862
25,465.323,1.68148,2.7546,0.2032,1.07837,1.71721,0.88689,0.85997,0.94303,0.45278,0.84187,0.85867,0.91689,0.49809,1.71899,1.80463,0.03418,1.00577,1.46126,0.001856,0.001856,0.001856
26,489.064,1.65657,2.6849,0.19075,1.0727,1.69951,0.82863,0.90466,0.92479,0.46825,0.82329,0.83871,0.89001,0.49125,1.64822,1.73562,0.03704,0.95151,1.37686,0.00185,0.00185,0.00185
27,503.814,1.67424,2.7212,0.19329,1.04739,1.69339,0.81018,0.86452,0.91033,0.42491,0.77137,0.83871,0.87566,0.4797,1.84564,1.88879,0.04783,1.06189,1.50072,0.001844,0.001844,0.001844
28,520.135,1.66527,2.78829,0.1915,1.05034,1.71212,0.86864,0.89592,0.95205,0.5393,0.86158,0.84329,0.92386,0.49759,1.5503,1.83323,0.03498,0.83873,1.3184,0.001838,0.001838,0.001838
