epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14223,4.09274,8.43684,0.71314,3.80236,4.20372,0,0,0,0,0,0,0,0,4.62037,8.2058,0.70925,4.56964,4.13881,0.0005,0.0005,0.0005
2,18.0234,3.38458,6.80614,0.62112,2.52354,3.35077,0,0,0,0,0.00011,0.00645,5e-05,1e-05,4.60407,8.04938,0.69126,4.47945,4.10421,0.00101694,0.00101694,0.00101694
3,23.376,2.57042,4.98217,0.5424,1.84594,2.65741,0.00115,0.07097,0.00064,0.00014,0.00346,0.2129,0.0021,0.00049,3.81297,6.13627,0.5191,4.24508,3.6495,0.00153076,0.00153076,0.00153076
4,29.8143,2.34616,4.17714,0.48411,1.62275,2.34487,0.83155,0.74839,0.82034,0.3923,0.59584,0.53548,0.45224,0.13765,1.96341,3.68507,0.25891,1.36454,1.80294,0.001982,0.001982,0.001982
5,36.5101,2.15785,3.73328,0.48187,1.4256,2.13825,0.78281,0.74194,0.83566,0.35431,0.35432,0.40006,0.20583,0.0518,2.0266,4.56829,0.16449,2.58625,1.79937,0.001976,0.001976,0.001976
6,43.2541,2.03905,3.51417,0.49938,1.36085,2.01786,0.6989,0.66452,0.74948,0.3601,0.60454,0.59355,0.59481,0.19853,1.80322,2.98399,0.25667,1.59433,1.65474,0.00197,0.00197,0.00197
7,48.6607,1.88557,3.43951,0.48887,1.26206,1.88967,0.69699,0.87556,0.80004,0.41413,0.60756,0.75912,0.61545,0.21467,1.59671,2.69036,0.26704,1.26901,1.48904,0.001964,0.001964,0.001964
8,53.7544,1.77842,3.18926,0.4875,1.17698,1.82996,0.74279,0.8757,0.82579,0.44564,0.68836,0.81227,0.7078,0.25726,1.6196,2.52445,0.2631,1.15062,1.47718,0.001958,0.001958,0.001958
9,59.4142,1.66575,3.09929,0.49009,1.13147,1.73128,0.76365,0.88387,0.90594,0.45123,0.74664,0.79355,0.7788,0.33289,1.73229,2.44357,0.27201,0.99807,1.53852,0.001952,0.001952,0.001952
10,65.9129,1.63348,3.1172,0.51004,1.07993,1.72416,0.76609,0.88747,0.89614,0.49591,0.67523,0.79355,0.71709,0.26239,1.54123,2.52116,0.28016,0.93434,1.4153,0.001946,0.001946,0.001946
11,71.0833,1.59411,2.94898,0.47537,1.01769,1.65195,0.81133,0.84516,0.90473,0.52776,0.7432,0.77419,0.75627,0.28086,1.50255,2.44811,0.24758,1.13364,1.38049,0.00194,0.00194,0.00194
12,76.8055,1.56844,2.93812,0.45779,1.00344,1.62474,0.76559,0.86394,0.87494,0.54549,0.72249,0.83226,0.78972,0.29877,1.3563,2.30023,0.22925,0.90435,1.32265,0.001934,0.001934,0.001934
13,82.2987,1.48362,2.92429,0.45148,1.00233,1.61009,0.77524,0.87742,0.90527,0.55934,0.76121,0.78152,0.7954,0.33596,1.37451,2.2811,0.20103,0.92271,1.3382,0.001928,0.001928,0.001928
14,88.7401,1.43934,2.8857,0.43877,0.97462,1.5445,0.78355,0.85806,0.91741,0.5583,0.78971,0.7753,0.83017,0.3752,1.40311,2.18777,0.20269,0.87773,1.36322,0.001922,0.001922,0.001922
15,94.3836,1.45634,2.78609,0.42119,0.94019,1.53203,0.86151,0.8027,0.92644,0.55416,0.80093,0.74194,0.79113,0.34669,1.40852,2.33251,0.17777,0.85214,1.34591,0.001916,0.001916,0.001916
16,99.1425,1.40437,2.67559,0.41113,0.92452,1.54584,0.80792,0.86836,0.91759,0.53906,0.78493,0.8129,0.81741,0.35716,1.4076,2.2422,0.14734,0.84699,1.33519,0.00191,0.00191,0.00191
17,104.488,1.38855,2.72891,0.37718,0.92245,1.51187,0.73874,0.72971,0.77269,0.47612,0.69929,0.70968,0.70959,0.31939,1.40364,2.4137,0.15612,1.06579,1.38126,0.001904,0.001904,0.001904
18,111.303,1.32193,2.63619,0.35413,0.87142,1.45503,0.73598,0.80645,0.80369,0.46603,0.72242,0.80645,0.77032,0.32369,1.43725,2.40561,0.13847,1.05477,1.39592,0.001898,0.001898,0.001898
19,116.46,1.33945,2.69055,0.34775,0.86226,1.47991,0.7614,0.90968,0.91147,0.57508,0.75824,0.77419,0.79037,0.31603,1.26265,2.35335,0.09981,0.9403,1.25393,0.001892,0.001892,0.001892
20,120.877,1.32765,2.63815,0.32875,0.84695,1.46958,0.82764,0.87097,0.88867,0.54867,0.77897,0.81935,0.7994,0.34321,1.34005,2.23164,0.10489,0.91703,1.2741,0.001886,0.001886,0.001886
21,126.034,1.27613,2.6443,0.32573,0.83739,1.42501,0.8534,0.89677,0.93222,0.61481,0.81963,0.85023,0.85081,0.36887,1.27787,2.16247,0.08606,0.79245,1.25345,0.00188,0.00188,0.00188
22,132.521,1.25354,2.51436,0.31951,0.81157,1.41941,0.83387,0.88387,0.91487,0.63254,0.81015,0.85806,0.86455,0.3731,1.17417,2.06332,0.08729,0.84589,1.18594,0.001874,0.001874,0.001874
23,137.71,1.20713,2.51405,0.2932,0.79925,1.39263,0.80821,0.84282,0.90666,0.58995,0.76149,0.8129,0.81329,0.37932,1.25243,2.04417,0.07933,0.83606,1.24475,0.001868,0.001868,0.001868
24,142.843,1.20979,2.52645,0.29294,0.82291,1.40781,0.81711,0.93548,0.94201,0.6122,0.7681,0.87742,0.85243,0.41367,1.25557,2.06274,0.06649,0.82187,1.23728,0.001862,0.001862,0.001862
