epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.89266,3.38016,7.63411,0.70602,3.20294,4.14797,0,0,0,0,0,0,0,0,4.61393,8.2585,0.70205,4.6048,4.17552,0.0005,0.0005,0.0005
2,16.0229,2.51839,5.54513,0.58231,1.93773,3.26669,0,0,0,0,0.00071,0.03871,0.00037,6e-05,4.49089,7.34732,0.63946,4.48946,4.12402,0.00101694,0.00101694,0.00101694
3,27.5668,2.34686,4.5797,0.51609,1.70141,2.65672,0.00411,0.20645,0.08656,0.01783,0.01568,0.7871,0.31109,0.08584,3.92263,5.03685,0.47855,3.73934,3.36767,0.00153076,0.00153076,0.00153076
4,36.664,2.28158,4.09122,0.45353,1.63239,2.40585,0.54833,0.56774,0.49098,0.15343,0.68552,0.63285,0.73233,0.28353,2.64694,3.00112,0.24216,1.66562,2.22591,0.001982,0.001982,0.001982
5,44.9749,2.17123,3.84951,0.42495,1.49444,2.19782,0.77389,0.79494,0.81813,0.37937,0.6885,0.67742,0.64059,0.24277,1.84874,2.92378,0.1852,1.39706,1.68158,0.001976,0.001976,0.001976
6,53.8617,2.08378,3.5606,0.40842,1.43611,2.1555,0.5853,0.73548,0.65369,0.27958,0.52043,0.70323,0.53744,0.18049,2.19005,2.68392,0.15363,1.79888,1.85749,0.00197,0.00197,0.00197
7,60.4354,1.97394,3.38287,0.41416,1.37654,2.07479,0.36012,0.45161,0.24195,0.03751,0.5355,0.72903,0.48272,0.16782,3.1275,2.81824,0.12671,1.93869,2.45446,0.001964,0.001964,0.001964
8,67.2725,1.90994,3.38125,0.40308,1.34684,1.98542,0.665,0.65317,0.62479,0.12776,0.77614,0.71579,0.76961,0.33177,2.7891,2.53643,0.13024,1.99132,2.24341,0.001958,0.001958,0.001958
9,75.6122,1.89818,3.30755,0.39778,1.27232,1.9458,0.76036,0.7779,0.74853,0.20322,0.77623,0.8,0.77956,0.33725,2.50177,2.39809,0.14806,2.64752,1.97999,0.001952,0.001952,0.001952
10,83.9132,1.856,3.23141,0.41546,1.25375,1.91797,0.68804,0.88222,0.73698,0.22306,0.7094,0.85806,0.78159,0.30565,2.21101,2.22184,0.15708,2.15238,1.77421,0.001946,0.001946,0.001946
