epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6905,4.00075,8.85796,0.698,3.85011,4.22722,0,0,0,0,0,0,0,0,4.61512,8.42116,0.6513,4.75017,4.17247,0.0005,0.0005,0.0005
2,20.0648,3.09063,6.93809,0.66828,2.25084,3.28137,0,0,0,0,0,0,0,0,4.57342,8.12982,0.6477,4.57027,4.2597,0.00101663,0.00101663,0.00101663
3,37.1512,2.50247,5.01441,0.5447,1.6218,2.53461,0.00426,0.12258,0.00254,0.00095,0.00561,0.16129,0.00327,0.00036,3.70219,6.97382,0.58854,3.81781,3.93491,0.00152984,0.00152984,0.00152984
4,48.8626,2.22452,3.74512,0.47841,1.36729,2.24581,0.33038,0.18065,0.34376,0.12624,0.76705,0.40365,0.49413,0.13426,2.27634,4.59529,0.39351,2.30146,2.58302,0.0019802,0.0019802,0.0019802
5,58.082,2.00552,3.22511,0.4753,1.28203,2.03041,0.72497,0.67742,0.7611,0.32725,0.75949,0.56774,0.6413,0.21308,1.87888,3.2626,0.26414,1.37745,1.87743,0.0019736,0.0019736,0.0019736
6,70.6503,1.86359,2.97552,0.49389,1.18802,1.91304,0.88572,0.80001,0.92407,0.45716,0.79448,0.78065,0.85802,0.34872,1.69783,2.52091,0.24574,1.08144,1.59804,0.001967,0.001967,0.001967
7,80.0885,1.75745,2.81664,0.47759,1.14,1.83242,0.73961,0.88387,0.86974,0.48501,0.71869,0.75484,0.76178,0.29962,1.50745,2.54194,0.24816,1.03066,1.51309,0.0019604,0.0019604,0.0019604
8,88.6571,1.55445,2.62248,0.46568,1.02207,1.72165,0.79469,0.92399,0.91723,0.5462,0.78334,0.88387,0.85721,0.41058,1.37918,2.05624,0.24561,0.94638,1.38016,0.0019538,0.0019538,0.0019538
9,98.127,1.51266,2.46086,0.46426,0.95833,1.64041,0.79993,0.87097,0.9208,0.54754,0.71194,0.89295,0.86091,0.4553,1.41748,2.02758,0.22649,0.92087,1.38171,0.0019472,0.0019472,0.0019472
10,109.988,1.45355,2.48815,0.45738,0.94729,1.62268,0.82436,0.9084,0.9379,0.55198,0.77055,0.90998,0.89134,0.47236,1.41029,1.99649,0.22046,0.94585,1.37615,0.0019406,0.0019406,0.0019406
11,119.459,1.42422,2.3237,0.40384,0.9034,1.57109,0.76316,0.91472,0.91926,0.56826,0.82354,0.74194,0.83336,0.44577,1.34048,1.8831,0.18641,0.87395,1.30945,0.001934,0.001934,0.001934
12,128.712,1.32415,2.28282,0.35325,0.86843,1.51083,0.80175,0.84516,0.9203,0.58517,0.74902,0.7871,0.83603,0.39989,1.27126,2.11211,0.15509,1.0044,1.2922,0.0019274,0.0019274,0.0019274
13,138.223,1.39152,2.26179,0.32429,0.88756,1.5416,0.80816,0.81935,0.87861,0.52887,0.76726,0.78065,0.81483,0.38258,1.38038,2.1267,0.14986,1.03646,1.32157,0.0019208,0.0019208,0.0019208
14,149.616,1.25882,2.22581,0.29514,0.82512,1.44266,0.81368,0.85161,0.9046,0.58973,0.79912,0.83226,0.8713,0.48674,1.2136,1.81783,0.10157,0.83669,1.25342,0.0019142,0.0019142,0.0019142
15,158.981,1.23278,2.17855,0.28733,0.79383,1.42722,0.83092,0.88779,0.90847,0.58889,0.7871,0.84516,0.80951,0.38304,1.24402,2.08541,0.08703,0.7851,1.26884,0.0019076,0.0019076,0.0019076
16,167.696,1.2236,2.13417,0.2741,0.76182,1.43812,0.78962,0.87097,0.90288,0.60613,0.74396,0.83871,0.83259,0.4764,1.22234,1.89665,0.07349,0.89423,1.2779,0.001901,0.001901,0.001901
17,177.183,1.1871,2.04231,0.26068,0.75114,1.42544,0.84464,0.8418,0.93212,0.61955,0.72764,0.87904,0.8441,0.46347,1.20569,1.83796,0.07224,0.79235,1.26187,0.0018944,0.0018944,0.0018944
18,189.432,1.17788,2.04124,0.24119,0.72215,1.37861,0.82737,0.92765,0.90926,0.61796,0.78091,0.87383,0.82857,0.44299,1.16254,1.84292,0.05309,0.96288,1.23709,0.0018878,0.0018878,0.0018878
19,198.485,1.14334,1.9981,0.24742,0.72099,1.37439,0.79057,0.8524,0.90881,0.60962,0.76485,0.88137,0.8661,0.48687,1.20351,1.69312,0.06452,0.77348,1.23488,0.0018812,0.0018812,0.0018812
20,206.289,1.09928,1.96124,0.24825,0.69165,1.35183,0.84329,0.90323,0.94094,0.65437,0.79296,0.86485,0.88525,0.5247,1.10919,1.69407,0.05218,0.7471,1.19775,0.0018746,0.0018746,0.0018746
21,215.842,1.09863,1.99775,0.24099,0.69289,1.33963,0.85679,0.92639,0.92786,0.65006,0.82288,0.90323,0.89737,0.49463,1.11658,1.78694,0.0638,0.72297,1.24536,0.001868,0.001868,0.001868
22,226.947,1.09954,1.92941,0.23701,0.68575,1.34997,0.81849,0.8728,0.89561,0.60349,0.78831,0.84087,0.83774,0.44734,1.17067,1.86133,0.06383,1.37018,1.23549,0.0018614,0.0018614,0.0018614
23,236.97,1.04405,1.9426,0.22101,0.67799,1.31453,0.83203,0.92678,0.94932,0.66999,0.81502,0.90963,0.92779,0.54301,1.08134,1.67033,0.05661,0.70953,1.17976,0.0018548,0.0018548,0.0018548
24,244.943,1.07319,1.91333,0.23224,0.6862,1.34136,0.84819,0.87742,0.92775,0.65963,0.82452,0.85161,0.88759,0.52284,1.13844,1.72901,0.04445,0.75089,1.22399,0.0018482,0.0018482,0.0018482
25,254.113,1.03792,1.90704,0.2172,0.67115,1.30609,0.83224,0.90323,0.92274,0.63173,0.79965,0.87097,0.88427,0.53949,1.14605,1.59958,0.0465,0.72835,1.21745,0.0018416,0.0018416,0.0018416
26,265.005,1.07493,1.82453,0.21656,0.67298,1.33622,0.85638,0.88387,0.92423,0.6546,0.84807,0.87742,0.91773,0.57729,1.12808,1.48965,0.05606,0.69773,1.18665,0.001835,0.001835,0.001835
27,273.633,1.02351,1.88088,0.22073,0.64208,1.29816,0.81103,0.89032,0.90906,0.63467,0.78127,0.85264,0.87358,0.51375,1.11132,1.62809,0.05351,0.73523,1.19028,0.0018284,0.0018284,0.0018284
28,283.308,1.04385,1.86215,0.21877,0.65545,1.29821,0.83983,0.91613,0.946,0.67093,0.88462,0.84088,0.9213,0.56559,1.0577,1.56978,0.05447,0.66683,1.17258,0.0018218,0.0018218,0.0018218
29,292.688,0.99406,1.76392,0.22331,0.63891,1.30644,0.8233,0.89677,0.93519,0.66945,0.78868,0.91613,0.90617,0.56552,1.05958,1.51502,0.04606,0.69751,1.19503,0.0018152,0.0018152,0.0018152
30,304.599,0.99718,1.74264,0.21411,0.63558,1.28054,0.82107,0.88813,0.89762,0.62572,0.78806,0.85806,0.85636,0.50897,1.06596,1.55698,0.04153,1.0746,1.14122,0.0018086,0.0018086,0.0018086
31,313.39,1.01464,1.75003,0.2047,0.65229,1.25929,0.89023,0.90323,0.95238,0.67055,0.87751,0.89032,0.93548,0.55632,1.07004,1.57824,0.03442,0.69231,1.16403,0.001802,0.001802,0.001802
32,323.242,1.01273,1.74839,0.20395,0.63263,1.29526,0.84045,0.88359,0.91922,0.66813,0.82817,0.87069,0.90505,0.58729,1.07135,1.49734,0.04559,0.73453,1.19438,0.0017954,0.0017954,0.0017954
33,333.218,0.99444,1.73632,0.20855,0.61378,1.26135,0.83335,0.89032,0.92073,0.65671,0.82074,0.87742,0.90732,0.54866,1.03123,1.44641,0.03744,0.73424,1.14933,0.0017888,0.0017888,0.0017888
34,344.606,0.98855,1.74977,0.20351,0.6162,1.27747,0.8821,0.90968,0.95582,0.71637,0.88383,0.88348,0.93517,0.59473,0.98353,1.42992,0.04726,0.61634,1.11964,0.0017822,0.0017822,0.0017822
35,353.778,0.93035,1.64314,0.20721,0.60475,1.25449,0.83483,0.92258,0.9357,0.66416,0.7998,0.88387,0.88177,0.51858,1.07769,1.6162,0.04164,0.83553,1.16853,0.0017756,0.0017756,0.0017756
36,362.941,0.96145,1.72681,0.20331,0.6289,1.25497,0.89549,0.92258,0.95753,0.69265,0.86284,0.89032,0.92318,0.60985,1.01755,1.4603,0.04443,0.66268,1.15143,0.001769,0.001769,0.001769
37,373.338,0.93079,1.7038,0.19743,0.59892,1.23715,0.89316,0.90323,0.95568,0.71203,0.88276,0.89032,0.94432,0.60316,0.96317,1.44587,0.03423,0.70376,1.11619,0.0017624,0.0017624,0.0017624
