epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8773,4.00219,8.8959,0.71018,3.8213,4.2523,0,0,0,0,0.00011,0.00645,5e-05,1e-05,4.62222,8.41595,0.67648,4.56215,4.14761,0.0005,0.0005,0.0005
2,30.6418,3.2244,6.94975,0.61126,2.66802,3.35659,0,0,0,0,0,0,0,0,4.60394,8.40019,0.68988,4.39704,4.17603,0.00101694,0.00101694,0.00101694
3,49.3693,2.52948,5.08121,0.53004,1.87054,2.59616,0.00436,0.32903,0.05256,0.00901,0.01,0.75484,0.03833,0.00875,3.29271,5.83828,0.43005,3.52539,3.17225,0.00153076,0.00153076,0.00153076
4,59.5695,2.25188,4.1134,0.48787,1.62295,2.32744,0.63762,0.5871,0.60522,0.24574,0.27592,0.27742,0.16089,0.04196,1.99232,4.57678,0.235,1.65691,2.04296,0.001982,0.001982,0.001982
5,69.7025,2.13218,3.73569,0.4756,1.50838,2.17077,0.58593,0.70323,0.62216,0.22329,0.37016,0.4129,0.26794,0.07483,2.15589,4.12146,0.20158,1.61372,1.83789,0.001976,0.001976,0.001976
6,81.74,2.06301,3.57459,0.48499,1.44613,2.09676,0.6176,0.6129,0.64662,0.31757,0.5514,0.58065,0.56107,0.20795,1.75253,2.68598,0.25027,1.62246,1.67336,0.00197,0.00197,0.00197
7,92.0364,1.87119,3.42929,0.47028,1.36189,1.93022,0.68739,0.69677,0.74375,0.41865,0.62774,0.63871,0.61626,0.23063,1.56712,2.57317,0.23582,1.29878,1.54815,0.001964,0.001964,0.001964
8,101.196,1.83381,3.2371,0.46989,1.28024,1.91656,0.74134,0.75812,0.77786,0.38218,0.62154,0.6129,0.55625,0.17184,1.69724,3.09671,0.23962,1.3611,1.59963,0.001958,0.001958,0.001958
9,111.706,1.72259,3.19456,0.47549,1.22998,1.82482,0.77437,0.77496,0.79053,0.40872,0.73662,0.72903,0.70693,0.27041,1.61998,2.56133,0.26412,1.12021,1.533,0.001952,0.001952,0.001952
10,123.987,1.67713,3.18403,0.49629,1.15214,1.80526,0.86693,0.75484,0.87898,0.50088,0.76056,0.67097,0.71252,0.26503,1.53881,2.51432,0.2492,1.09746,1.46335,0.001946,0.001946,0.001946
11,133.764,1.56515,2.9746,0.46515,1.08441,1.69346,0.74774,0.76497,0.79665,0.46508,0.7263,0.71613,0.72064,0.29923,1.48807,2.44624,0.2515,1.10648,1.46842,0.00194,0.00194,0.00194
12,143.794,1.54472,2.93911,0.45137,1.06755,1.661,0.80422,0.79505,0.86123,0.49838,0.72903,0.69433,0.7053,0.29283,1.44111,2.43649,0.2346,1.05783,1.40165,0.001934,0.001934,0.001934
13,154.217,1.48699,2.90904,0.44588,1.03702,1.63386,0.76352,0.81935,0.87807,0.54297,0.66175,0.76774,0.71781,0.26859,1.3643,2.43163,0.21896,0.92025,1.31397,0.001928,0.001928,0.001928
14,165.436,1.44328,2.93909,0.43813,1.01405,1.58292,0.72858,0.83127,0.86336,0.50553,0.70331,0.79355,0.81262,0.35797,1.46939,2.33579,0.22385,0.98063,1.42416,0.001922,0.001922,0.001922
15,175.576,1.43972,2.75449,0.42627,0.98807,1.55614,0.7165,0.86452,0.794,0.45343,0.66788,0.80645,0.7063,0.31758,1.5159,2.24812,0.20484,1.01143,1.41791,0.001916,0.001916,0.001916
16,185.132,1.4773,2.72743,0.41525,0.98168,1.60745,0.78869,0.85161,0.85968,0.51565,0.73442,0.79355,0.75568,0.34948,1.35911,2.12084,0.18935,0.92546,1.32858,0.00191,0.00191,0.00191
17,195.158,1.41199,2.71548,0.39326,0.97305,1.57766,0.7326,0.88379,0.83465,0.50973,0.65878,0.79719,0.70273,0.27453,1.31872,2.41735,0.16529,0.99114,1.3106,0.001904,0.001904,0.001904
18,207.191,1.38715,2.68501,0.37663,0.92406,1.50903,0.65537,0.85161,0.74681,0.4621,0.6211,0.8129,0.65303,0.28379,1.35673,2.21762,0.15428,1.0077,1.30251,0.001898,0.001898,0.001898
19,216.162,1.34751,2.64309,0.37256,0.90742,1.50046,0.6688,0.66441,0.64535,0.39046,0.58606,0.61201,0.53739,0.22084,1.40201,2.55523,0.16273,1.24778,1.3417,0.001892,0.001892,0.001892
20,224.484,1.30125,2.65712,0.35967,0.8964,1.48598,0.78977,0.85806,0.8323,0.55691,0.75621,0.82581,0.74085,0.3215,1.28554,2.16984,0.1257,0.90739,1.26878,0.001886,0.001886,0.001886
21,234.007,1.30223,2.60807,0.35169,0.87901,1.46501,0.73214,0.85806,0.85875,0.57641,0.69857,0.81935,0.77026,0.36883,1.20586,2.09424,0.12573,0.93578,1.26262,0.00188,0.00188,0.00188
22,245.81,1.28059,2.60228,0.34823,0.87058,1.45947,0.78166,0.85806,0.88058,0.56854,0.7464,0.81935,0.795,0.37502,1.28861,2.10337,0.11226,0.88559,1.27705,0.001874,0.001874,0.001874
