epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.98306,2.05945,6.80111,0.71662,2.46222,1.93319,0.57035,0.70578,0.64868,0.15483,0.10872,0.10127,0.0142,0.00167,2.18865,7.28553,0.68203,3.23614,1.86951,0.000647059,0.000647059,0.000647059
2,12.1916,1.64082,5.0821,0.70337,1.25615,1.50215,0.8064,0.7909,0.80935,0.23188,0.39702,0.45842,0.28223,0.05351,2.2092,4.55299,0.63382,2.75404,2.23029,0.00130939,0.00130939,0.00130939
3,15.635,1.62968,4.03127,0.64616,1.15537,1.50456,0.32881,0.89873,0.3312,0.14487,0.28139,0.77215,0.25624,0.07823,1.84491,3.26048,0.48525,3.86246,1.70676,0.00196732,0.00196732,0.00196732
4,18.9045,1.48797,3.47823,0.58099,1.11453,1.4251,0.73541,0.70371,0.72323,0.2776,0.66978,0.68354,0.61605,0.22982,2.0542,3.08161,0.38503,2.35759,1.72209,0.0019802,0.0019802,0.0019802
5,22.3392,1.51312,3.33045,0.55139,1.04865,1.41386,0.95057,0.91139,0.96538,0.48432,0.8141,0.77215,0.74194,0.30641,1.78663,2.85797,0.27806,1.15067,1.52105,0.0019736,0.0019736,0.0019736
6,25.8533,1.49284,3.11579,0.54114,1.00519,1.39815,0.94258,0.94937,0.97544,0.44808,0.90241,0.91139,0.91763,0.4322,1.74878,1.91567,0.25584,0.97527,1.42337,0.001967,0.001967,0.001967
7,29.2903,1.42042,3.03047,0.52253,0.95887,1.37189,0.90092,0.92079,0.95726,0.53987,0.8568,0.82278,0.82858,0.36874,1.36266,2.02134,0.246,0.84779,1.21629,0.0019604,0.0019604,0.0019604
8,32.8002,1.42996,3.09717,0.50529,0.95353,1.3492,0.97456,0.92405,0.98079,0.5372,0.97063,0.91139,0.9699,0.52331,1.55527,1.76595,0.21878,1.04772,1.31542,0.0019538,0.0019538,0.0019538
9,36.2239,1.38496,2.89715,0.47594,0.90652,1.31444,0.98611,0.92405,0.96568,0.52741,0.9726,0.91139,0.95017,0.54133,1.63327,1.57306,0.21348,1.14538,1.33529,0.0019472,0.0019472,0.0019472
10,39.4935,1.39709,3.02381,0.48237,0.94504,1.33471,0.96219,0.96633,0.99,0.55267,0.93491,0.96203,0.96563,0.52515,1.52884,1.60846,0.18951,1.32872,1.25243,0.0019406,0.0019406,0.0019406
