epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2965,3.99787,8.63069,0.73252,3.94253,4.2525,0,0,0,0,0,0,0,0,4.62106,8.34633,0.70748,4.5921,4.15413,0.0005,0.0005,0.0005
2,19.3131,3.08006,6.62431,0.65933,2.81176,3.37153,0,0,0,0,0.00031,0.01935,0.00016,2e-05,4.55883,8.05032,0.68321,4.47673,4.03545,0.00101694,0.00101694,0.00101694
3,23.8828,2.44805,4.67175,0.56522,1.86847,2.52969,0.01007,0.71613,0.02911,0.01119,0.01152,0.81935,0.01606,0.00535,2.49177,3.85435,0.40184,3.5126,2.23886,0.00153076,0.00153076,0.00153076
4,29.8338,2.2003,3.93701,0.50082,1.60867,2.22949,0.55733,0.57419,0.57682,0.25244,0.29092,0.36774,0.17737,0.03931,2.05341,4.84943,0.22512,1.78331,1.84326,0.001982,0.001982,0.001982
5,35.9807,2.02388,3.67741,0.48383,1.46235,2.04953,0.72359,0.67558,0.78319,0.39382,0.51372,0.55484,0.4898,0.14251,1.79606,3.7301,0.19874,1.43619,1.69771,0.001976,0.001976,0.001976
6,42.7112,1.92586,3.53326,0.49496,1.31427,1.97309,0.75735,0.70323,0.81365,0.42148,0.67618,0.69032,0.68686,0.28935,1.72636,2.57304,0.26097,1.22762,1.63844,0.00197,0.00197,0.00197
7,48.2189,1.81262,3.31939,0.47884,1.25805,1.87613,0.66264,0.89974,0.81927,0.41606,0.66544,0.71613,0.69287,0.26618,1.6581,2.56015,0.25648,1.14585,1.56032,0.001964,0.001964,0.001964
8,52.9357,1.76206,3.20859,0.47345,1.18396,1.84299,0.77924,0.80645,0.82334,0.43388,0.70828,0.73548,0.67021,0.25204,1.54419,2.58084,0.23932,1.07449,1.4574,0.001958,0.001958,0.001958
9,58.9076,1.66238,3.0886,0.47474,1.13362,1.74757,0.78499,0.79355,0.87717,0.46124,0.72117,0.72903,0.75719,0.30787,1.63866,2.55741,0.24499,1.06371,1.49006,0.001952,0.001952,0.001952
10,65.7548,1.60301,3.14669,0.49647,1.08291,1.71878,0.77169,0.8129,0.88707,0.49352,0.71433,0.74209,0.74135,0.30562,1.52385,2.50789,0.23897,1.0564,1.44779,0.001946,0.001946,0.001946
11,71.1832,1.5509,2.89733,0.46031,1.04176,1.66033,0.71168,0.87587,0.86613,0.49739,0.68435,0.84516,0.80764,0.32797,1.54426,2.325,0.23755,0.98084,1.40243,0.00194,0.00194,0.00194
12,76.6682,1.55733,2.90871,0.43564,1.02222,1.6307,0.73019,0.82063,0.83397,0.49545,0.7016,0.78879,0.77298,0.31977,1.48348,2.31194,0.20294,0.96782,1.38751,0.001934,0.001934,0.001934
13,82.2293,1.50725,2.99998,0.41942,1.00691,1.6191,0.79587,0.84516,0.90104,0.54981,0.7399,0.7871,0.78363,0.3192,1.33137,2.31563,0.18638,0.87097,1.30939,0.001928,0.001928,0.001928
14,88.475,1.426,2.90589,0.39504,0.97888,1.5412,0.86639,0.78065,0.89065,0.54343,0.80746,0.72903,0.79796,0.36019,1.40083,2.2432,0.17169,0.94842,1.3264,0.001922,0.001922,0.001922
15,94.1772,1.47326,2.81712,0.37987,0.93538,1.54247,0.80561,0.85806,0.91588,0.52547,0.74809,0.72804,0.75197,0.26689,1.37143,2.60896,0.15092,1.01777,1.32129,0.001916,0.001916,0.001916
16,99.2456,1.45447,2.7798,0.36253,0.9439,1.57329,0.78975,0.87242,0.86759,0.49936,0.74992,0.8319,0.77792,0.36269,1.37212,2.25273,0.1168,0.98006,1.29833,0.00191,0.00191,0.00191
17,104.9,1.4304,2.73379,0.34145,0.92908,1.55417,0.81,0.90323,0.90584,0.53927,0.76428,0.85806,0.83427,0.34791,1.33347,2.25448,0.12908,0.93274,1.29132,0.001904,0.001904,0.001904
18,111.643,1.41639,2.69528,0.32362,0.9146,1.5156,0.76067,0.83226,0.84979,0.51219,0.71426,0.79024,0.76949,0.33382,1.38085,2.28554,0.10194,0.92607,1.35505,0.001898,0.001898,0.001898
19,116.769,1.36661,2.70022,0.32347,0.88506,1.49765,0.7743,0.83226,0.86597,0.52221,0.70096,0.80152,0.75794,0.33828,1.37199,2.25439,0.08657,0.97853,1.32759,0.001892,0.001892,0.001892
20,121.471,1.35189,2.72746,0.31069,0.89853,1.50348,0.81851,0.87293,0.91264,0.57158,0.78775,0.81935,0.83422,0.35304,1.31056,2.2524,0.08845,0.85202,1.27264,0.001886,0.001886,0.001886
21,126.607,1.34661,2.6635,0.30362,0.87024,1.46621,0.82114,0.87097,0.89646,0.56742,0.78197,0.80988,0.80362,0.39255,1.34704,2.14675,0.06864,0.82827,1.31435,0.00188,0.00188,0.00188
22,133.303,1.32703,2.60126,0.3018,0.8337,1.46108,0.8233,0.90178,0.91688,0.59537,0.78064,0.86452,0.82815,0.36912,1.23205,2.13553,0.07464,0.776,1.22115,0.001874,0.001874,0.001874
23,138.418,1.27724,2.55105,0.27882,0.83962,1.43779,0.80929,0.90348,0.8876,0.55101,0.74682,0.83736,0.76082,0.36144,1.29349,2.0837,0.06632,0.84161,1.2567,0.001868,0.001868,0.001868
24,143.843,1.28014,2.58063,0.27957,0.84557,1.46115,0.83375,0.88387,0.90873,0.56304,0.79724,0.84516,0.82006,0.39872,1.32772,2.06471,0.08269,0.80914,1.30784,0.001862,0.001862,0.001862
25,148.329,1.29901,2.56704,0.26102,0.85028,1.44708,0.81202,0.89182,0.89889,0.5675,0.77722,0.85161,0.85118,0.39721,1.35875,2.10238,0.05987,0.80795,1.35248,0.001856,0.001856,0.001856
26,155.609,1.33059,2.55217,0.26635,0.85145,1.46927,0.82489,0.85096,0.89671,0.55954,0.7682,0.8,0.79416,0.38039,1.28662,2.15298,0.06977,0.8457,1.28551,0.00185,0.00185,0.00185
27,160.504,1.28367,2.54462,0.25602,0.82559,1.43246,0.83115,0.89032,0.91332,0.59998,0.79108,0.85806,0.84156,0.3944,1.27479,2.08947,0.06394,0.79251,1.25195,0.001844,0.001844,0.001844
28,166.113,1.2289,2.47895,0.26046,0.82235,1.41172,0.77004,0.8129,0.8386,0.52782,0.72308,0.76774,0.75423,0.36755,1.31287,2.1473,0.06909,0.96648,1.28616,0.001838,0.001838,0.001838
29,172.01,1.24416,2.43574,0.27199,0.818,1.4341,0.76926,0.90968,0.89119,0.58223,0.75229,0.89032,0.84015,0.40835,1.26582,1.97818,0.05316,0.80282,1.2761,0.001832,0.001832,0.001832
30,178.813,1.21781,2.38159,0.26235,0.80469,1.41109,0.79206,0.91613,0.92182,0.61475,0.75258,0.86346,0.80715,0.39285,1.20721,2.11235,0.05002,0.77213,1.22191,0.001826,0.001826,0.001826
31,183.925,1.1978,2.42717,0.24437,0.78355,1.36569,0.83829,0.90302,0.90814,0.58686,0.80221,0.86353,0.84345,0.40756,1.2303,2.04123,0.04187,0.84981,1.21592,0.00182,0.00182,0.00182
32,189.643,1.20406,2.3937,0.2484,0.77545,1.39332,0.78925,0.89395,0.90553,0.55236,0.76646,0.86814,0.85701,0.40795,1.28026,2.02338,0.04557,0.7903,1.27103,0.001814,0.001814,0.001814
33,195.962,1.19602,2.33,0.25042,0.76154,1.37498,0.86141,0.88222,0.9389,0.59464,0.80492,0.82581,0.82808,0.41875,1.31026,1.99568,0.04721,0.7462,1.29964,0.001808,0.001808,0.001808
34,202.358,1.2163,2.37642,0.2494,0.77993,1.40684,0.81737,0.88387,0.89082,0.60296,0.80026,0.85302,0.85037,0.39686,1.16336,1.98125,0.0417,0.82792,1.20947,0.001802,0.001802,0.001802
35,207.733,1.16253,2.24176,0.25262,0.75209,1.37895,0.77613,0.89467,0.89006,0.576,0.74862,0.86459,0.83427,0.41492,1.26144,2.01296,0.04598,0.89437,1.2624,0.001796,0.001796,0.001796
36,213.157,1.15861,2.34591,0.24195,0.76449,1.36404,0.85458,0.87206,0.92903,0.61305,0.82308,0.8404,0.85103,0.39568,1.21456,2.09368,0.04559,0.75851,1.25913,0.00179,0.00179,0.00179
37,218.351,1.18293,2.34251,0.23314,0.75789,1.36005,0.85983,0.87097,0.93852,0.64014,0.76908,0.87097,0.86953,0.4233,1.12386,2.01411,0.05479,0.707,1.18337,0.001784,0.001784,0.001784
38,225.298,1.15076,2.30052,0.25131,0.74672,1.35266,0.82469,0.88014,0.93588,0.61347,0.78365,0.84129,0.85536,0.42735,1.19397,1.9822,0.044,0.74267,1.21789,0.001778,0.001778,0.001778
39,230.512,1.14704,2.25438,0.22574,0.73718,1.35391,0.87794,0.85161,0.9326,0.61721,0.76634,0.88872,0.86416,0.39232,1.21123,2.09153,0.04481,0.71666,1.21552,0.001772,0.001772,0.001772
40,236.465,1.11286,2.25311,0.24518,0.72739,1.36439,0.88232,0.86452,0.94514,0.63348,0.82962,0.80645,0.86558,0.44399,1.16352,1.91022,0.04034,0.6989,1.17999,0.001766,0.001766,0.001766
41,241.594,1.13128,2.24766,0.23553,0.718,1.36236,0.84233,0.90968,0.9453,0.62348,0.81207,0.87742,0.89422,0.4655,1.18187,1.89395,0.04275,0.70113,1.20647,0.00176,0.00176,0.00176
42,247.935,1.1075,2.19311,0.2349,0.70471,1.33677,0.84384,0.90641,0.9322,0.64996,0.81413,0.90968,0.90009,0.48853,1.13209,1.77114,0.03472,0.705,1.17337,0.001754,0.001754,0.001754
43,253.58,1.10926,2.18832,0.22999,0.72358,1.32891,0.85878,0.85806,0.93958,0.62911,0.80028,0.82581,0.86859,0.4507,1.1772,1.87414,0.05183,0.72961,1.17585,0.001748,0.001748,0.001748
44,259.283,1.07392,2.18711,0.22457,0.71388,1.29675,0.84811,0.90058,0.94275,0.63644,0.81788,0.86923,0.88357,0.45872,1.18282,1.90672,0.05173,0.67782,1.19249,0.001742,0.001742,0.001742
45,263.892,1.06496,2.15714,0.21797,0.69286,1.31231,0.80649,0.94194,0.93788,0.63371,0.82814,0.9016,0.90909,0.4569,1.18015,1.88523,0.04564,0.69859,1.21766,0.001736,0.001736,0.001736
46,270.269,1.06084,2.12281,0.21472,0.67157,1.27304,0.81008,0.93561,0.94141,0.66935,0.76976,0.88437,0.8762,0.4733,1.10208,1.85581,0.0364,0.65359,1.15186,0.00173,0.00173,0.00173
47,276.244,1.05738,2.1293,0.21362,0.66857,1.28405,0.87665,0.88387,0.95116,0.67458,0.85484,0.86452,0.92079,0.47821,1.09014,1.82623,0.03375,0.74704,1.15121,0.001724,0.001724,0.001724
48,281.224,1.06603,2.16727,0.20193,0.69953,1.28165,0.82287,0.87097,0.91854,0.61771,0.79403,0.84563,0.86993,0.45392,1.18825,1.93073,0.03715,0.68657,1.2243,0.001718,0.001718,0.001718
49,286.694,1.08119,2.07933,0.21929,0.70145,1.32246,0.86048,0.90323,0.95417,0.66599,0.8236,0.86452,0.90773,0.45756,1.07831,1.89101,0.03725,0.71391,1.12586,0.001712,0.001712,0.001712
50,292.892,1.02327,2.06328,0.22402,0.65951,1.27848,0.87092,0.87742,0.92825,0.61642,0.83838,0.87016,0.87844,0.44344,1.15073,1.85757,0.03612,0.76484,1.17726,0.001706,0.001706,0.001706
51,298.329,1.02807,2.06643,0.20377,0.66208,1.26532,0.84845,0.89032,0.94435,0.66654,0.78765,0.89032,0.86935,0.45044,1.0865,1.84502,0.04258,0.68726,1.1054,0.0017,0.0017,0.0017
52,303.353,1.09162,2.12561,0.21331,0.68724,1.29965,0.8563,0.86452,0.92147,0.61904,0.82435,0.83226,0.87335,0.46274,1.12001,1.81398,0.03455,0.78622,1.18089,0.001694,0.001694,0.001694
53,309.271,1.05333,2.0671,0.21121,0.68105,1.29077,0.84796,0.90968,0.93782,0.65716,0.82527,0.89032,0.90401,0.47187,1.06956,1.74235,0.03796,0.78647,1.12626,0.001688,0.001688,0.001688
54,314.869,1.00913,2.01829,0.20721,0.66854,1.26705,0.88538,0.89702,0.95478,0.67996,0.85394,0.86757,0.89,0.45951,1.05732,1.81742,0.04095,0.68214,1.10857,0.001682,0.001682,0.001682
55,319.863,1.03683,2.07941,0.20934,0.67745,1.28624,0.85964,0.89032,0.94829,0.66497,0.83435,0.87741,0.91381,0.51161,1.10913,1.66559,0.03871,0.70244,1.14405,0.001676,0.001676,0.001676
56,325.061,1.01831,2.04067,0.21122,0.6575,1.26488,0.81999,0.94041,0.94654,0.68153,0.78867,0.91495,0.8802,0.47527,1.05696,1.81306,0.0414,0.66669,1.13353,0.00167,0.00167,0.00167
57,330.579,1.01281,2.01652,0.20655,0.65774,1.25565,0.82778,0.89932,0.93774,0.64827,0.81172,0.88387,0.90773,0.50395,1.11919,1.73298,0.02888,0.6664,1.21085,0.001664,0.001664,0.001664
58,337.611,0.99664,2.01615,0.20865,0.66072,1.26459,0.87172,0.90323,0.94806,0.65709,0.83922,0.87742,0.90869,0.49341,1.13746,1.72921,0.03267,0.71795,1.14647,0.001658,0.001658,0.001658
59,342.63,1.00042,1.98801,0.19108,0.64614,1.24914,0.86426,0.88387,0.94418,0.67436,0.83536,0.85111,0.88915,0.49175,1.10995,1.78387,0.03772,0.63781,1.17835,0.001652,0.001652,0.001652
60,347.299,1.02855,2.00328,0.20388,0.66577,1.2759,0.86582,0.90968,0.95614,0.66714,0.8497,0.91183,0.95112,0.49545,1.09873,1.7294,0.03058,0.68184,1.16149,0.001646,0.001646,0.001646
61,352.515,0.98587,1.90423,0.19133,0.63351,1.23356,0.82352,0.94194,0.94214,0.67245,0.81145,0.92903,0.92006,0.48585,1.05255,1.68919,0.0259,0.67461,1.12608,0.00164,0.00164,0.00164
62,359.071,1.00497,1.99701,0.20809,0.63658,1.26807,0.86935,0.90156,0.93706,0.66714,0.85691,0.88866,0.91138,0.48263,1.0815,1.74162,0.03707,0.69523,1.16456,0.001634,0.001634,0.001634
63,365.122,0.996,1.9365,0.19722,0.63254,1.27609,0.82861,0.93548,0.9349,0.67894,0.80004,0.90323,0.8631,0.46576,0.98849,1.70157,0.04208,0.72751,1.08872,0.001628,0.001628,0.001628
64,371.257,0.97076,1.95245,0.20503,0.62475,1.22586,0.86458,0.90615,0.93588,0.65432,0.83415,0.87614,0.88609,0.48436,1.01961,1.66424,0.03869,0.70319,1.10461,0.001622,0.001622,0.001622
65,376.649,0.96949,1.94514,0.19089,0.61934,1.24731,0.84987,0.91306,0.95247,0.70888,0.84387,0.90661,0.94393,0.52917,0.99874,1.62295,0.03318,0.59937,1.08527,0.001616,0.001616,0.001616
66,382.66,0.9536,1.89832,0.1834,0.62566,1.24264,0.9009,0.87978,0.94967,0.69202,0.88802,0.86976,0.93384,0.51366,1.04278,1.65933,0.02949,0.64289,1.1013,0.00161,0.00161,0.00161
67,388.275,0.96239,1.90724,0.1983,0.63335,1.24168,0.86716,0.92655,0.95802,0.6675,0.84262,0.90323,0.92295,0.52415,1.14382,1.71313,0.03765,0.6346,1.17482,0.001604,0.001604,0.001604
68,393.259,0.98363,1.89634,0.17997,0.63263,1.25122,0.90394,0.91613,0.95487,0.6969,0.85953,0.89032,0.90576,0.5153,1.00536,1.68002,0.04111,0.6042,1.09245,0.001598,0.001598,0.001598
69,398.937,0.96349,1.981,0.17948,0.6259,1.23626,0.87021,0.90323,0.95722,0.67687,0.86507,0.91,0.95239,0.52925,1.05707,1.63242,0.03421,0.66234,1.10235,0.001592,0.001592,0.001592
70,405.014,0.97346,1.92669,0.1856,0.63165,1.22191,0.87705,0.87445,0.94749,0.67953,0.87058,0.868,0.93479,0.52006,1.06787,1.6322,0.03475,0.64074,1.12065,0.001586,0.001586,0.001586
71,410.149,0.93556,1.9958,0.20713,0.62488,1.2468,0.90752,0.88636,0.95362,0.6845,0.90752,0.88636,0.95695,0.54933,1.03489,1.55875,0.032,0.61017,1.10568,0.00158,0.00158,0.00158
72,415.981,0.94324,1.90808,0.18553,0.62198,1.21806,0.8739,0.89425,0.95212,0.69167,0.85925,0.90585,0.91565,0.53011,1.05613,1.62094,0.03217,0.64838,1.09916,0.001574,0.001574,0.001574
73,421.994,0.95377,1.86539,0.19092,0.61165,1.23667,0.88126,0.90978,0.95276,0.70572,0.87017,0.91613,0.94448,0.52105,0.99737,1.62307,0.03943,0.60797,1.08356,0.001568,0.001568,0.001568
