epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.0324,2.24926,9.11172,0.71922,3.74186,2.00183,0.57005,0.41914,0.44316,0.26545,0.05686,0.03226,0.0034,0.00034,1.50572,8.37397,0.69158,1.73739,1.32896,0.0015,0.0005,0.0015,0.0005,0.0015,0.0005,0.0015,0.0005
2,25.9656,1.16108,8.56472,0.72691,1.09739,1.20887,0.74553,0.81277,0.82011,0.5208,0.03491,0.02581,0.00228,0.00028,1.24855,7.91736,0.69483,1.11591,1.12397,0.0030499,0.00101663,0.0030499,0.00101663,0.0030499,0.00101663,0.0030499,0.00101663
3,36.3548,0.98085,7.1948,0.71705,0.71382,1.06633,0.81037,0.87097,0.89081,0.60092,0.18259,0.16129,0.04408,0.00525,1.15091,6.5726,0.6857,0.83982,1.074,0.00458951,0.00152984,0.00458951,0.00152984,0.00458951,0.00152984,0.00458951,0.00152984
4,43.2747,0.92094,5.74608,0.6987,0.64799,1.02672,0.86697,0.84096,0.93435,0.65354,0.59215,0.56129,0.44575,0.09157,1.07658,4.61741,0.66983,0.6885,1.02643,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802,0.0059406,0.0019802
5,49.2494,0.88585,4.46065,0.68283,0.61868,1.00227,0.83619,0.88922,0.92268,0.6538,0.71322,0.60645,0.61388,0.16894,1.06237,3.70898,0.65639,0.69486,1.02234,0.0059208,0.0019736,0.0059208,0.0019736,0.0059208,0.0019736,0.0059208,0.0019736
6,57.7514,0.86315,3.69415,0.67657,0.61495,0.99006,0.87278,0.84516,0.93477,0.6585,0.82031,0.75484,0.80759,0.25285,1.07743,2.92705,0.6308,0.72319,1.01517,0.005901,0.001967,0.005901,0.001967,0.005901,0.001967,0.005901,0.001967
7,66.2091,0.84577,3.17383,0.65736,0.58967,0.97922,0.83195,0.89433,0.91482,0.64428,0.78678,0.83226,0.82512,0.3314,1.00827,2.66766,0.6064,0.86822,1.01577,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
8,72.7582,0.80126,2.78437,0.63763,0.55401,0.97079,0.87311,0.88786,0.93758,0.6942,0.84013,0.8137,0.86434,0.36401,0.96228,2.39681,0.56537,0.83191,0.98646,0.0058614,0.0019538,0.0058614,0.0019538,0.0058614,0.0019538,0.0058614,0.0019538
9,79.4283,0.79227,2.44527,0.61839,0.54682,0.95962,0.8432,0.92903,0.92369,0.65343,0.80716,0.89677,0.88011,0.42596,0.99338,2.08704,0.53514,0.79805,1.00381,0.0058416,0.0019472,0.0058416,0.0019472,0.0058416,0.0019472,0.0058416,0.0019472
10,93.8681,0.78917,2.35015,0.6152,0.55809,0.96782,0.85797,0.90323,0.93489,0.68264,0.82453,0.87917,0.90627,0.4866,0.97001,1.86166,0.51494,0.66338,1.00393,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
11,115.916,0.77465,2.15351,0.59619,0.53304,0.96252,0.90036,0.8745,0.93632,0.69531,0.86051,0.83579,0.88893,0.48449,0.93285,1.89677,0.49533,0.60343,0.99399,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934
12,133.111,0.73786,2.04841,0.57921,0.52769,0.94667,0.90931,0.90968,0.94774,0.70989,0.87761,0.87902,0.90842,0.52922,0.92605,1.77778,0.47772,0.59168,0.97668,0.0057822,0.0019274,0.0057822,0.0019274,0.0057822,0.0019274,0.0057822,0.0019274
13,147.781,0.73593,2.00497,0.56852,0.51247,0.94689,0.89022,0.90968,0.94624,0.72963,0.86082,0.88387,0.92861,0.52936,0.89988,1.74283,0.45866,0.57106,0.98329,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
14,159.053,0.73246,1.92313,0.5557,0.51149,0.94006,0.89327,0.91794,0.94907,0.71792,0.88699,0.91149,0.95267,0.55721,0.90465,1.62498,0.43101,0.59819,0.9786,0.0057426,0.0019142,0.0057426,0.0019142,0.0057426,0.0019142,0.0057426,0.0019142
15,168.429,0.74538,1.88677,0.54647,0.51055,0.94929,0.89444,0.92258,0.94585,0.71293,0.86317,0.89032,0.89941,0.52254,0.93595,1.66797,0.41601,0.56597,0.983,0.0057228,0.0019076,0.0057228,0.0019076,0.0057228,0.0019076,0.0057228,0.0019076
16,176.881,0.7383,1.85939,0.541,0.49809,0.94421,0.90327,0.89032,0.95339,0.71957,0.89672,0.88387,0.95302,0.54905,0.8715,1.57826,0.39568,0.60541,0.95784,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
17,185.627,0.71071,1.74381,0.52724,0.49194,0.92771,0.91718,0.90968,0.95722,0.72493,0.90957,0.90323,0.94838,0.56824,0.87552,1.52601,0.37061,0.5637,0.96369,0.0056832,0.0018944,0.0056832,0.0018944,0.0056832,0.0018944,0.0056832,0.0018944
18,196.327,0.70784,1.70906,0.51146,0.48547,0.92544,0.90936,0.90323,0.96055,0.73179,0.90286,0.89677,0.95097,0.59969,0.90195,1.48131,0.35402,0.58819,0.97736,0.0056634,0.0018878,0.0056634,0.0018878,0.0056634,0.0018878,0.0056634,0.0018878
19,204.554,0.70962,1.70075,0.51297,0.48487,0.92952,0.91022,0.91574,0.96637,0.74702,0.89695,0.90968,0.95317,0.59818,0.86531,1.45114,0.33659,0.53776,0.94696,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
20,212.579,0.67855,1.66794,0.49741,0.47154,0.91743,0.9187,0.92258,0.96804,0.7346,0.90315,0.91613,0.94844,0.6128,0.88193,1.44294,0.31602,0.57041,0.95643,0.0056238,0.0018746,0.0056238,0.0018746,0.0056238,0.0018746,0.0056238,0.0018746
21,221.166,0.68398,1.60941,0.4938,0.47231,0.92836,0.90934,0.906,0.97032,0.75912,0.89639,0.8931,0.95164,0.63638,0.86144,1.35216,0.30548,0.52414,0.95293,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868
22,231.431,0.68369,1.60946,0.49344,0.47365,0.92585,0.88509,0.92258,0.96515,0.74898,0.8789,0.91613,0.95157,0.63265,0.8633,1.33649,0.29217,0.58564,0.96331,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
23,239.861,0.67556,1.57816,0.47738,0.47364,0.926,0.90439,0.91543,0.95976,0.74986,0.90439,0.91543,0.96126,0.64452,0.82099,1.30617,0.27901,0.57843,0.94973,0.0055644,0.0018548,0.0055644,0.0018548,0.0055644,0.0018548,0.0055644,0.0018548
24,247.925,0.67361,1.51353,0.46515,0.46772,0.92985,0.91048,0.92258,0.96764,0.75883,0.8831,0.89677,0.93118,0.6134,0.82168,1.37681,0.26145,0.57662,0.93101,0.0055446,0.0018482,0.0055446,0.0018482,0.0055446,0.0018482,0.0055446,0.0018482
