epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3014,3.56105,8.38899,0.69307,3.23954,4.1747,0.00103,0.07519,0.00069,0.00024,0.00031,0.02256,0.00017,2e-05,3.49754,7.68268,0.70933,4.13584,4.16951,0.0005,0.0005,0.0005
2,19.1871,2.42169,5.60373,0.61121,1.62339,2.91825,0.00085,0.06015,0.00061,0.00022,0.00011,0.00752,5e-05,1e-05,3.448,7.49723,0.69987,4.21271,4.18961,0.00101663,0.00101663,0.00101663
3,35.3199,2.16747,4.17477,0.53301,1.31264,2.39654,0.00707,0.51128,0.00914,0.00237,0.00655,0.47368,0.00649,0.00095,2.73815,6.14812,0.53029,3.74074,3.69813,0.00152984,0.00152984,0.00152984
4,46.0455,1.889,3.27339,0.48549,1.17963,2.06911,0.86687,0.58749,0.75746,0.3733,0.77811,0.52734,0.65368,0.25265,1.76287,3.05643,0.28432,2.09465,2.46663,0.0019802,0.0019802,0.0019802
5,57.2916,1.74579,3.02313,0.48438,1.11432,1.91685,0.82392,0.87953,0.88914,0.50797,0.77932,0.84211,0.84487,0.39715,1.43009,2.19613,0.19554,1.21388,1.95739,0.0019736,0.0019736,0.0019736
6,68.9128,1.58303,2.82686,0.49116,1.08603,1.76958,0.57808,0.74436,0.65796,0.38022,0.51313,0.68421,0.48668,0.18771,1.47041,2.70999,0.18718,2.75194,1.86752,0.001967,0.001967,0.001967
7,78.4062,1.51635,2.63147,0.4789,0.99097,1.67461,0.84275,0.88651,0.93484,0.51742,0.72408,0.73684,0.70285,0.26105,1.47427,2.45671,0.18227,1.1205,1.84851,0.0019604,0.0019604,0.0019604
8,86.919,1.34445,2.44277,0.46407,0.90409,1.58611,0.81983,0.92374,0.87151,0.51654,0.77815,0.8797,0.81339,0.42895,1.37085,1.80596,0.19538,0.94484,1.66024,0.0019538,0.0019538,0.0019538
9,96.3918,1.32423,2.28156,0.46771,0.88203,1.52294,0.88983,0.8797,0.93273,0.54261,0.8422,0.80261,0.87086,0.46213,1.44746,1.85582,0.18874,1.09558,1.85957,0.0019472,0.0019472,0.0019472
10,108.248,1.27515,2.37386,0.47455,0.8457,1.5107,0.90189,0.85714,0.95333,0.63275,0.833,0.78947,0.8716,0.42447,1.21347,2.09673,0.18527,0.82316,1.57005,0.0019406,0.0019406,0.0019406
11,117.723,1.24145,2.23716,0.44145,0.80676,1.45291,0.90651,0.87487,0.96497,0.6203,0.89106,0.86099,0.94326,0.52239,1.1649,1.66191,0.19244,0.88503,1.55939,0.001934,0.001934,0.001934
12,127.364,1.20666,2.19419,0.40976,0.79671,1.40819,0.87601,0.92481,0.96032,0.62346,0.84151,0.89474,0.92031,0.52327,1.18337,1.68328,0.18389,0.87313,1.61569,0.0019274,0.0019274,0.0019274
13,136.813,1.13224,2.16309,0.392,0.75418,1.37236,0.87088,0.86215,0.92345,0.63139,0.87088,0.86215,0.93019,0.50191,1.05237,1.60188,0.14607,0.75341,1.38464,0.0019208,0.0019208,0.0019208
14,148.043,1.10368,2.11071,0.36403,0.72294,1.31591,0.92401,0.86466,0.95434,0.66653,0.87016,0.85665,0.90262,0.52866,1.05152,1.50496,0.1468,0.74243,1.45486,0.0019142,0.0019142,0.0019142
15,157.001,1.16982,2.07583,0.3428,0.72815,1.33557,0.91824,0.8797,0.95504,0.64901,0.8947,0.85714,0.92872,0.53862,1.11481,1.63444,0.12979,0.72478,1.48937,0.0019076,0.0019076,0.0019076
16,165.508,1.09154,2.09981,0.3177,0.70471,1.32814,0.91574,0.89887,0.96714,0.65924,0.89272,0.87592,0.92734,0.50806,1.10953,1.67222,0.12811,0.76145,1.48621,0.001901,0.001901,0.001901
17,174.794,1.07908,2.08294,0.30096,0.70661,1.30936,0.93043,0.89474,0.96091,0.65281,0.90641,0.87218,0.93527,0.56202,1.03376,1.53598,0.12891,0.79174,1.37979,0.0018944,0.0018944,0.0018944
18,187.045,1.04911,1.95824,0.28154,0.65876,1.26598,0.8345,0.94777,0.95903,0.65536,0.81564,0.93138,0.92323,0.54841,1.04291,1.55456,0.09819,0.80426,1.37024,0.0018878,0.0018878,0.0018878
19,196.001,1.07446,2.08306,0.29624,0.68815,1.28292,0.916,0.90977,0.96874,0.69203,0.9119,0.83459,0.90787,0.48298,0.97676,1.8147,0.08574,0.71852,1.3377,0.0018812,0.0018812,0.0018812
20,203.692,0.98801,1.98384,0.27718,0.6402,1.23869,0.88407,0.89474,0.94757,0.67291,0.8628,0.87218,0.92006,0.5422,1.03025,1.57995,0.08612,0.70486,1.39467,0.0018746,0.0018746,0.0018746
21,212.662,0.99684,1.97185,0.26434,0.64344,1.23862,0.92442,0.91962,0.96557,0.69308,0.91686,0.91211,0.96311,0.56412,0.99222,1.52006,0.09417,0.61508,1.30991,0.001868,0.001868,0.001868
22,224.467,1.0079,1.93162,0.25578,0.62904,1.24178,0.85229,0.91729,0.95596,0.69217,0.82813,0.9057,0.92139,0.55406,0.95092,1.45958,0.10445,0.67924,1.31955,0.0018614,0.0018614,0.0018614
23,233.342,0.96927,1.83387,0.24788,0.63475,1.21959,0.90965,0.91729,0.96892,0.73282,0.88048,0.88626,0.93433,0.56598,0.89167,1.48581,0.08988,0.62892,1.2675,0.0018548,0.0018548,0.0018548
24,242.184,0.9439,1.84796,0.24297,0.63084,1.22218,0.8396,0.88722,0.92365,0.66079,0.83111,0.88803,0.91914,0.52522,0.99835,1.56534,0.09254,0.75491,1.30961,0.0018482,0.0018482,0.0018482
