epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4685,3.79071,7.72744,0.71021,3.63953,4.13674,0,0,0,0,0,0,0,0,4.61348,8.11535,0.69361,4.70196,4.14801,0.0005,0.0005,0.0005
2,25.2791,3.1196,6.40921,0.64939,2.59948,3.37986,0.00122,0.07742,0.00066,0.00028,0.00112,0.07097,0.0006,9e-05,4.42346,7.75509,0.66842,4.26446,4.00201,0.00101694,0.00101694,0.00101694
3,44.6603,2.5336,4.94103,0.56356,2.10428,2.72799,0.83605,0.52641,0.73652,0.24947,0.74373,0.45161,0.57763,0.1406,2.36906,4.92521,0.45028,2.09382,2.25635,0.00153076,0.00153076,0.00153076
4,59.8001,2.37567,4.19301,0.46578,1.85072,2.44431,0.63015,0.63871,0.6104,0.16111,0.59541,0.60645,0.55676,0.1553,2.51066,3.27526,0.19695,2.42481,2.15696,0.001982,0.001982,0.001982
5,74.6951,2.23784,3.85319,0.42635,1.67803,2.23624,0.66217,0.80932,0.75474,0.24386,0.54159,0.66313,0.50858,0.16218,2.25615,3.12597,0.14006,2.53565,1.83746,0.001976,0.001976,0.001976
6,90.4744,2.15323,3.54467,0.41163,1.58955,2.17349,0.75015,0.73606,0.74812,0.33546,0.63273,0.62245,0.57956,0.21106,1.83208,2.95701,0.16993,1.26055,1.60797,0.00197,0.00197,0.00197
7,102.088,2.07908,3.43435,0.41467,1.51959,2.09202,0.3655,0.5871,0.31701,0.08028,0.327,0.60645,0.29566,0.1114,2.40782,2.72432,0.15211,4.03859,1.93919,0.001964,0.001964,0.001964
8,114.066,2.0467,3.40744,0.39815,1.50163,2.01143,0.79911,0.70323,0.82942,0.29691,0.76835,0.68477,0.783,0.36481,2.14536,2.25497,0.1464,1.35716,1.68556,0.001958,0.001958,0.001958
9,129.098,2.00101,3.29236,0.40471,1.41995,1.98137,0.77577,0.74194,0.77644,0.18795,0.79132,0.80736,0.83022,0.38057,2.55749,2.22423,0.13852,1.64707,1.91672,0.001952,0.001952,0.001952
10,144.095,1.98423,3.19342,0.41653,1.38116,1.94809,0.669,0.78065,0.718,0.22294,0.72667,0.8,0.76215,0.32416,2.22076,2.23832,0.14528,2.36601,1.71126,0.001946,0.001946,0.001946
11,156.594,1.91675,3.14436,0.38941,1.37968,1.89605,0.73979,0.73548,0.80534,0.25245,0.78923,0.66452,0.74208,0.30596,2.18684,2.26053,0.12702,1.72751,1.73471,0.00194,0.00194,0.00194
12,169.997,1.93216,3.07503,0.37654,1.28293,1.8677,0.81384,0.81796,0.8843,0.27955,0.76723,0.8,0.8334,0.41827,2.24287,2.09679,0.11114,1.36093,1.75866,0.001934,0.001934,0.001934
13,183.146,1.88676,3.02641,0.37374,1.28296,1.85142,0.81266,0.89558,0.889,0.27191,0.74624,0.81582,0.79639,0.36883,2.27441,2.1771,0.10809,1.36444,1.7772,0.001928,0.001928,0.001928
14,198.644,1.87795,3.04056,0.34767,1.25117,1.85673,0.80875,0.81935,0.88818,0.28012,0.77691,0.7871,0.83968,0.42121,2.19121,2.129,0.09084,1.71983,1.73885,0.001922,0.001922,0.001922
15,211.061,1.86569,3.00316,0.31286,1.26018,1.83385,0.75321,0.85806,0.84327,0.26571,0.80198,0.75774,0.84003,0.37476,2.17493,2.23997,0.07517,1.32032,1.67955,0.001916,0.001916,0.001916
16,223.925,1.83808,2.94715,0.30869,1.27172,1.84636,0.64724,0.73548,0.61746,0.16858,0.68131,0.77419,0.70272,0.29992,2.30931,2.20572,0.06778,1.59011,1.79305,0.00191,0.00191,0.00191
17,237.257,1.84995,3.0669,0.31388,1.23827,1.80939,0.82895,0.85161,0.8851,0.29955,0.82607,0.85798,0.86662,0.43043,2.21184,2.06159,0.06323,1.7013,1.69613,0.001904,0.001904,0.001904
18,254.029,1.77992,2.96699,0.26882,1.21701,1.79987,0.78067,0.84516,0.85097,0.22968,0.78695,0.84516,0.84747,0.41259,2.36646,2.13838,0.04548,2.66904,1.85811,0.001898,0.001898,0.001898
19,265.289,1.79158,2.85147,0.25969,1.17799,1.77423,0.75237,0.77419,0.7399,0.17175,0.83253,0.85806,0.89948,0.45638,2.69612,1.91664,0.05196,1.33068,2.04132,0.001892,0.001892,0.001892
20,277.963,1.79061,2.87252,0.26496,1.20802,1.80229,0.75383,0.92853,0.82441,0.29714,0.73606,0.90968,0.79801,0.3573,2.02297,2.06203,0.05582,1.49375,1.54555,0.001886,0.001886,0.001886
21,290.305,1.77641,2.81574,0.23674,1.17658,1.75891,0.78387,0.79355,0.8142,0.25686,0.78163,0.80824,0.81587,0.39235,2.2577,2.07272,0.0479,1.17686,1.70032,0.00188,0.00188,0.00188
22,306.015,1.78136,2.8549,0.23845,1.17782,1.74586,0.79217,0.8129,0.82338,0.22709,0.84301,0.86608,0.90031,0.4606,2.38798,1.92939,0.03611,1.93356,1.81341,0.001874,0.001874,0.001874
23,318.172,1.75681,2.8192,0.2348,1.14771,1.7621,0.76914,0.84516,0.84569,0.19726,0.79212,0.88502,0.90444,0.48173,2.58823,1.915,0.03806,1.24522,1.96331,0.001868,0.001868,0.001868
24,331.258,1.75587,2.79458,0.25288,1.14893,1.73562,0.8389,0.83988,0.88355,0.2626,0.79558,0.83226,0.8684,0.454,2.30676,1.92815,0.03894,1.44075,1.74474,0.001862,0.001862,0.001862
25,342.909,1.75436,2.7938,0.22252,1.1527,1.75766,0.84095,0.85281,0.92289,0.42024,0.8276,0.8129,0.88704,0.47515,1.75519,1.88575,0.04837,0.99002,1.44065,0.001856,0.001856,0.001856
