epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1421,3.71764,8.59339,0.66725,3.35549,4.09385,0,0,0,0,0,0,0,0,4.60944,8.34697,0.68825,4.74334,4.15985,0.0005,0.0005,0.0005
2,21.9071,2.44322,6.00143,0.52523,1.67156,2.88757,0,0,0,0,0,0,0,0,4.50135,7.98187,0.6388,4.74683,4.08727,0.00101663,0.00101663,0.00101663
3,35.8199,2.08552,4.48627,0.47255,1.32999,2.27003,0.00664,0.42581,0.05413,0.02332,0.00825,0.52903,0.03098,0.00822,3.07777,6.16159,0.42877,3.74881,3.13599,0.00152984,0.00152984,0.00152984
4,47.1574,1.81427,3.52507,0.45075,1.21982,1.99144,0.88495,0.74439,0.85647,0.3517,0.84224,0.70323,0.81104,0.33131,1.95829,2.92154,0.26232,1.56451,1.95214,0.0019802,0.0019802,0.0019802
5,58.1806,1.72566,3.14324,0.46014,1.1902,1.89696,0.70569,0.8129,0.84819,0.45511,0.69654,0.74839,0.78111,0.33549,1.68167,2.53402,0.22407,1.15614,1.61009,0.0019736,0.0019736,0.0019736
6,69.1492,1.61586,2.85534,0.46906,1.12587,1.76084,0.79849,0.86923,0.92921,0.55531,0.82337,0.79355,0.86555,0.37962,1.40311,2.33775,0.22979,0.96546,1.41017,0.001967,0.001967,0.001967
7,78.7647,1.47313,2.67376,0.44355,1.00971,1.648,0.76404,0.84516,0.86027,0.4928,0.63275,0.80033,0.68241,0.27798,1.48931,2.64584,0.20325,1.07202,1.41424,0.0019604,0.0019604,0.0019604
8,88.277,1.39889,2.5929,0.42636,0.93554,1.60043,0.8269,0.84516,0.89712,0.49229,0.77399,0.76129,0.75664,0.3192,1.50346,2.43606,0.1963,1.12738,1.42853,0.0019538,0.0019538,0.0019538
9,98.6602,1.35221,2.39712,0.41261,0.89168,1.53139,0.84249,0.89032,0.92516,0.55814,0.81753,0.83828,0.87233,0.45551,1.44188,2.09217,0.18396,0.95806,1.35054,0.0019472,0.0019472,0.0019472
10,108.947,1.27684,2.47011,0.4169,0.85201,1.49781,0.76944,0.94736,0.91166,0.58993,0.72757,0.89598,0.84277,0.4289,1.28039,2.11346,0.16186,0.83478,1.27112,0.0019406,0.0019406,0.0019406
11,118.791,1.23918,2.34001,0.34971,0.80325,1.46323,0.8374,0.88387,0.88718,0.58779,0.79552,0.83871,0.83102,0.40986,1.22111,2.07467,0.12959,0.85347,1.25641,0.001934,0.001934,0.001934
12,128.172,1.23232,2.27492,0.31793,0.80149,1.43611,0.85245,0.89459,0.9219,0.60516,0.81274,0.85806,0.85304,0.41947,1.18811,1.92741,0.10817,0.83135,1.23866,0.0019274,0.0019274,0.0019274
13,138.265,1.24715,2.30833,0.30988,0.7949,1.43956,0.8316,0.89207,0.9206,0.59251,0.79129,0.80721,0.84619,0.43028,1.25046,2.02077,0.09443,0.85123,1.21114,0.0019208,0.0019208,0.0019208
14,149.922,1.14273,2.22783,0.28062,0.75373,1.37021,0.86124,0.88093,0.94095,0.61628,0.82358,0.84332,0.90189,0.47596,1.23635,1.93572,0.07454,0.77756,1.25262,0.0019142,0.0019142,0.0019142
15,159.482,1.16372,2.1503,0.26877,0.75127,1.36335,0.76169,0.89677,0.86365,0.55142,0.71594,0.86183,0.80674,0.41712,1.15864,1.85496,0.07589,0.97474,1.19381,0.0019076,0.0019076,0.0019076
16,168.567,1.13308,2.06922,0.26678,0.71418,1.37646,0.76665,0.93265,0.8941,0.60993,0.75074,0.91329,0.86397,0.47427,1.16831,1.73772,0.07047,0.81686,1.21371,0.001901,0.001901,0.001901
17,178.043,1.10385,2.06008,0.25288,0.7228,1.34536,0.85106,0.93548,0.94461,0.64886,0.79765,0.87742,0.86428,0.48511,1.16793,1.8368,0.06683,0.70458,1.20246,0.0018944,0.0018944,0.0018944
18,190.681,1.0965,1.99769,0.23196,0.69353,1.31592,0.77435,0.88562,0.89191,0.58861,0.71212,0.89032,0.84032,0.428,1.1136,1.91516,0.06864,0.98926,1.17763,0.0018878,0.0018878,0.0018878
19,199.655,1.06179,1.98439,0.24488,0.68437,1.30354,0.81556,0.91292,0.92738,0.66472,0.78846,0.89032,0.89707,0.52782,1.06904,1.61012,0.05996,0.7385,1.15672,0.0018812,0.0018812,0.0018812
20,207.836,1.02592,1.97432,0.23501,0.65352,1.28893,0.84572,0.91613,0.93726,0.6499,0.80401,0.87343,0.872,0.43214,1.08828,1.95626,0.06371,0.87044,1.16082,0.0018746,0.0018746,0.0018746
21,216.695,0.98301,2.0134,0.23797,0.64015,1.25287,0.85269,0.92258,0.96156,0.68847,0.83337,0.90349,0.9373,0.57014,1.02678,1.57393,0.05265,0.71498,1.17275,0.001868,0.001868,0.001868
22,228.85,1.00652,2.00111,0.23097,0.63842,1.27974,0.90114,0.91613,0.95146,0.67026,0.88845,0.90323,0.93391,0.57331,1.09082,1.58184,0.04501,0.65554,1.16934,0.0018614,0.0018614,0.0018614
23,237.836,0.9649,1.87767,0.21314,0.63594,1.2493,0.86547,0.84516,0.91293,0.63978,0.81518,0.80645,0.84634,0.49013,1.1403,1.89456,0.06211,0.74269,1.19701,0.0018548,0.0018548,0.0018548
24,246.902,0.97506,1.8593,0.22399,0.63357,1.27771,0.85976,0.92258,0.93721,0.66562,0.83978,0.91302,0.9182,0.55013,1.09173,1.63011,0.06202,0.69428,1.16139,0.0018482,0.0018482,0.0018482
25,255.13,0.97972,1.86373,0.20403,0.63763,1.24998,0.86975,0.87097,0.94042,0.679,0.84213,0.84516,0.8927,0.55667,1.03268,1.56584,0.06036,0.6579,1.128,0.0018416,0.0018416,0.0018416
26,267.59,0.99554,1.80842,0.21019,0.6343,1.27394,0.85724,0.92977,0.94511,0.66484,0.85724,0.92977,0.94417,0.59051,1.09509,1.52273,0.06063,0.62542,1.15374,0.001835,0.001835,0.001835
27,276.295,0.93917,1.79935,0.21121,0.59012,1.23779,0.89699,0.92258,0.96015,0.64381,0.87128,0.89677,0.93353,0.5553,1.2031,1.61026,0.04515,0.74625,1.21613,0.0018284,0.0018284,0.0018284
28,285.895,0.97489,1.80743,0.20972,0.6204,1.25017,0.85604,0.92071,0.9487,0.66034,0.83907,0.90968,0.92518,0.51238,1.08046,1.74479,0.04591,0.82115,1.17095,0.0018218,0.0018218,0.0018218
29,295.667,0.94527,1.75789,0.22118,0.61488,1.25013,0.85747,0.93152,0.9515,0.70018,0.83066,0.92258,0.93631,0.55308,0.97278,1.63218,0.05145,0.68805,1.10746,0.0018152,0.0018152,0.0018152
30,307.989,0.94326,1.74312,0.21337,0.59186,1.2316,0.84398,0.90968,0.94508,0.68831,0.83077,0.88387,0.9201,0.54128,0.98756,1.63112,0.05711,0.7138,1.10668,0.0018086,0.0018086,0.0018086
31,316.925,0.93743,1.74013,0.20197,0.59519,1.20609,0.86141,0.92234,0.96102,0.72031,0.8328,0.86452,0.92135,0.52567,0.92935,1.56974,0.03852,0.61631,1.07789,0.001802,0.001802,0.001802
32,326.427,0.89252,1.68684,0.2006,0.58248,1.21693,0.85805,0.93595,0.95095,0.70127,0.83542,0.91698,0.91244,0.56036,0.98722,1.54153,0.03307,0.71769,1.1008,0.0017954,0.0017954,0.0017954
33,337.966,0.91637,1.74644,0.20888,0.57268,1.20614,0.86399,0.94265,0.96248,0.71758,0.85817,0.93686,0.95813,0.62074,0.93891,1.39359,0.03878,0.6118,1.09098,0.0017888,0.0017888,0.0017888
34,349.331,0.9188,1.75697,0.20856,0.57697,1.22039,0.86866,0.93874,0.95086,0.68983,0.86618,0.91874,0.94791,0.59607,0.96987,1.36253,0.03862,0.68179,1.07825,0.0017822,0.0017822,0.0017822
35,358.58,0.87329,1.57314,0.20659,0.56483,1.19574,0.85224,0.93548,0.94591,0.69103,0.84049,0.92258,0.93287,0.58357,1.03152,1.47661,0.03838,0.61525,1.12168,0.0017756,0.0017756,0.0017756
36,367.233,0.89417,1.68998,0.20317,0.58541,1.19669,0.90913,0.92258,0.96622,0.73113,0.90193,0.91613,0.9583,0.62232,0.93617,1.43044,0.04826,0.57688,1.08351,0.001769,0.001769,0.001769
37,376.507,0.86779,1.61261,0.19732,0.5619,1.18189,0.90522,0.90968,0.96136,0.71436,0.9067,0.87777,0.93837,0.58247,0.9818,1.52615,0.05117,0.57381,1.09925,0.0017624,0.0017624,0.0017624
38,388.483,0.85047,1.67305,0.20253,0.55342,1.17733,0.91533,0.89032,0.95872,0.71472,0.9031,0.87097,0.93798,0.58881,0.9399,1.4159,0.04117,0.58601,1.07738,0.0017558,0.0017558,0.0017558
39,397.478,0.86873,1.62182,0.1893,0.55265,1.17458,0.91191,0.94194,0.97143,0.70378,0.90525,0.93548,0.96064,0.63424,1.0035,1.37973,0.04294,0.58978,1.11975,0.0017492,0.0017492,0.0017492
40,406.891,0.83591,1.64599,0.21598,0.55239,1.18502,0.86841,0.90968,0.94518,0.71881,0.84478,0.88387,0.91232,0.5593,0.94226,1.51135,0.04693,0.63102,1.08363,0.0017426,0.0017426,0.0017426
41,416.499,0.84608,1.60521,0.20334,0.54196,1.1838,0.85381,0.93548,0.96163,0.71729,0.84792,0.92903,0.95611,0.60076,0.91879,1.35736,0.04121,0.66637,1.07612,0.001736,0.001736,0.001736
42,427.902,0.79363,1.53319,0.19434,0.51504,1.14399,0.88746,0.94839,0.9729,0.73026,0.88746,0.94839,0.9729,0.63633,0.91728,1.33179,0.03944,0.60529,1.07099,0.0017294,0.0017294,0.0017294
43,437.432,0.8559,1.56327,0.19581,0.542,1.16743,0.83401,0.94009,0.95154,0.71998,0.82829,0.93364,0.94083,0.59524,0.94172,1.43143,0.05559,0.61552,1.05452,0.0017228,0.0017228,0.0017228
44,447.271,0.80416,1.62215,0.19708,0.52908,1.13905,0.86238,0.88944,0.94216,0.71035,0.85613,0.88299,0.93328,0.59356,0.93555,1.411,0.04021,0.61339,1.07834,0.0017162,0.0017162,0.0017162
45,455.19,0.80544,1.48313,0.18845,0.52118,1.14464,0.84574,0.91966,0.93769,0.69709,0.8453,0.92258,0.9332,0.58728,0.93339,1.38489,0.03762,0.6983,1.08052,0.0017096,0.0017096,0.0017096
46,467.168,0.81027,1.57906,0.18248,0.51733,1.12744,0.856,0.93548,0.96276,0.72282,0.84419,0.92258,0.94873,0.6336,0.90181,1.2988,0.02944,0.63223,1.06695,0.001703,0.001703,0.001703
47,477.146,0.80523,1.48308,0.18326,0.50637,1.12875,0.86921,0.89032,0.94473,0.70724,0.86921,0.89032,0.93904,0.61506,0.98979,1.3898,0.0392,0.643,1.08149,0.0016964,0.0016964,0.0016964
48,485.713,0.8296,1.56031,0.1866,0.52604,1.12895,0.87441,0.94334,0.96081,0.70758,0.85671,0.92575,0.9411,0.61425,1.02871,1.3915,0.03747,0.58933,1.10393,0.0016898,0.0016898,0.0016898
49,495.41,0.83246,1.5227,0.18997,0.53005,1.16241,0.88698,0.91134,0.96208,0.74435,0.87292,0.88635,0.94315,0.64095,0.88917,1.31647,0.03544,0.59015,1.05958,0.0016832,0.0016832,0.0016832
50,506.555,0.78391,1.45351,0.18479,0.51594,1.12149,0.90005,0.92957,0.95696,0.73727,0.86756,0.90968,0.92552,0.56771,0.93412,1.50511,0.04524,0.59516,1.06706,0.0016766,0.0016766,0.0016766
51,515.907,0.80602,1.48391,0.17344,0.50517,1.12137,0.86479,0.85161,0.93348,0.70259,0.80691,0.89677,0.91162,0.56967,0.92344,1.50394,0.03215,0.62109,1.07258,0.00167,0.00167,0.00167
52,524.608,0.81271,1.49463,0.18719,0.52019,1.14134,0.92224,0.91825,0.96043,0.74005,0.90913,0.90362,0.94825,0.63707,0.86375,1.31084,0.03146,0.54982,1.0288,0.0016634,0.0016634,0.0016634
