epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4421,3.78886,8.00119,0.70642,3.60663,4.17954,0,0,0,0,0,0,0,0,4.62236,8.45726,0.68914,4.65873,4.14641,0.0005,0.0005,0.0005
2,45.5511,3.24835,7.08082,0.62939,2.81015,3.55751,0,0,0,0,0,0,0,0,4.55895,8.27517,0.68205,4.38486,4.15789,0.00101694,0.00101694,0.00101694
3,68.411,2.62203,5.71083,0.50946,2.29228,2.91447,0.00264,0.42581,0.1126,0.02471,0.00208,0.33548,0.04571,0.00524,3.26795,6.78997,0.4677,3.58854,3.09256,0.00153076,0.00153076,0.00153076
4,87.5258,2.43121,4.6705,0.44247,2.01417,2.58486,0.57818,0.5871,0.59695,0.2084,0.49544,0.53548,0.50333,0.13633,2.2808,3.6907,0.20079,1.72331,2.0771,0.001982,0.001982,0.001982
5,106.736,2.30848,4.09274,0.41978,1.77734,2.33732,0.77609,0.76029,0.81704,0.36523,0.67143,0.67239,0.66062,0.2227,1.95025,2.91412,0.15789,1.83952,1.71739,0.001976,0.001976,0.001976
6,128.451,2.21909,3.67824,0.41317,1.66089,2.2679,0.58103,0.67097,0.55902,0.1775,0.46196,0.53548,0.36238,0.11087,2.43597,3.20024,0.12172,3.11784,2.03154,0.00197,0.00197,0.00197
7,143.915,2.16575,3.52524,0.42563,1.56603,2.2088,0.61036,0.65691,0.59049,0.12868,0.54432,0.60111,0.47699,0.16086,2.73151,2.93758,0.15561,1.95932,2.13969,0.001964,0.001964,0.001964
8,160.311,2.15135,3.54549,0.41243,1.53311,2.15296,0.68651,0.56514,0.59312,0.14061,0.79286,0.61935,0.71226,0.31484,2.66911,2.60793,0.15816,1.40445,2.05107,0.001958,0.001958,0.001958
9,180.658,2.0752,3.42295,0.41912,1.45944,2.0903,0.77338,0.65161,0.69149,0.15921,0.81773,0.78065,0.85627,0.34404,2.66197,2.24425,0.16027,1.37161,2.01431,0.001952,0.001952,0.001952
10,203.26,2.06924,3.27259,0.43329,1.44432,2.08061,0.73858,0.63797,0.72803,0.26357,0.57377,0.77297,0.6681,0.26191,2.08681,2.51835,0.19061,2.8271,1.67253,0.001946,0.001946,0.001946
11,220.196,2.01319,3.24729,0.41336,1.43662,2.01079,0.68789,0.64516,0.66574,0.15868,0.72666,0.68606,0.71428,0.32091,2.50345,2.23043,0.17091,1.89822,1.91645,0.00194,0.00194,0.00194
12,238.19,2.0096,3.18102,0.41001,1.3414,1.95859,0.80953,0.83871,0.90377,0.39627,0.76192,0.77419,0.81301,0.38908,1.97588,2.18271,0.16541,1.13554,1.58206,0.001934,0.001934,0.001934
13,255.502,1.94932,3.15463,0.41006,1.34736,1.92457,0.66991,0.86452,0.80178,0.3281,0.61429,0.79355,0.68664,0.28045,1.94308,2.40193,0.16482,1.58421,1.59391,0.001928,0.001928,0.001928
14,276.892,1.92862,3.19711,0.39988,1.31572,1.93389,0.75925,0.83422,0.84668,0.22034,0.77173,0.78065,0.81595,0.36891,2.3138,2.22297,0.16655,3.22188,1.84269,0.001922,0.001922,0.001922
15,293.325,1.92895,3.0739,0.38767,1.32007,1.92894,0.80068,0.78065,0.85276,0.2737,0.79127,0.74839,0.82228,0.41797,2.02343,2.09007,0.15209,1.43988,1.61671,0.001916,0.001916,0.001916
16,310.646,1.91034,3.04132,0.38591,1.28019,1.94203,0.67003,0.70323,0.63963,0.22131,0.68297,0.76442,0.69316,0.32333,2.25003,2.08777,0.13586,1.46052,1.75956,0.00191,0.00191,0.00191
17,328.313,1.89391,3.15715,0.3985,1.26493,1.90408,0.84733,0.81935,0.85399,0.28915,0.83347,0.80645,0.83119,0.4162,2.17008,2.00294,0.1307,1.40124,1.67003,0.001904,0.001904,0.001904
